500V,,550V,,600V,,650V,,700V,,750V,,800V,,775V,,725V,,790V,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
576.9099731,5.284583569,576.9099731,13.4195013,576.9099731,30.61533737,576.9099731,61.47841263,576.9099731,122.3212433,576.9099731,235.7870789,576.9099731,432.4677124,576.9099731,315.6748657,576.9099731,168.2590942,576.9099731,361.6828308,
577.9400024,4.992466927,577.9400024,12.75409031,577.9400024,28.74938583,577.9400024,58.63225555,577.9400024,119.0738602,577.9400024,228.8918915,577.9400024,413.6557007,577.9400024,305.5766602,577.9400024,160.6943054,577.9400024,346.1622314,
578.9699707,4.867619991,578.9699707,12.20609856,578.9699707,28.0626564,578.9699707,56.26033783,578.9699707,115.6314316,578.9699707,216.4057159,578.9699707,396.0735779,578.9699707,289.3717346,578.9699707,155.7105408,578.9699707,331.6142578,
579.8499756,4.692341328,579.8499756,11.79854965,579.8499756,26.67556953,579.8499756,54.09249878,579.8499756,109.5715561,579.8499756,210.2256622,579.8499756,385.8275757,579.8499756,285.3402405,579.8499756,151.5724182,579.8499756,321.3322754,
580.8900146,4.440627098,580.8900146,11.36036682,580.8900146,26.25858688,580.8900146,52.26363754,580.8900146,108.0545425,580.8900146,201.1052551,580.8900146,367.888916,580.8900146,265.7561035,580.8900146,143.6781311,580.8900146,310.1463318,
581.9400024,4.266918659,581.9400024,10.99735832,581.9400024,24.73782349,581.9400024,50.46273804,581.9400024,102.2835846,581.9400024,196.4809418,581.9400024,351.3687134,581.9400024,258.6702271,581.9400024,138.3167877,581.9400024,301.9807434,
582.8300171,4.181316376,582.8300171,10.63829708,582.8300171,24.59139252,582.8300171,48.25454712,582.8300171,100.0247269,582.8300171,188.1383057,582.8300171,340.5403442,582.8300171,249.7397766,582.8300171,134.4245453,582.8300171,285.6852417,
583.8800049,4.076152802,583.8800049,10.0454464,583.8800049,23.38892365,583.8800049,47.37889862,583.8800049,94.91835022,583.8800049,180.3243866,583.8800049,329.4173889,583.8800049,238.9982758,583.8800049,130.3406525,583.8800049,279.3497314,
584.9199829,3.916456461,584.9199829,9.780097008,584.9199829,22.48490334,584.9199829,45.61252213,584.9199829,93.26783752,584.9199829,175.3279266,584.9199829,316.2701111,584.9199829,232.4158783,584.9199829,124.8835068,584.9199829,269.2185059,
585.9699707,3.773607254,585.9699707,9.626310349,585.9699707,21.81813812,585.9699707,43.93092346,585.9699707,88.6703949,585.9699707,168.9116974,585.9699707,308.3453369,585.9699707,220.7839203,585.9699707,121.0657883,585.9699707,257.6054382,
586.8599854,3.631397963,586.8599854,9.182667732,586.8599854,21.21841431,586.8599854,42.32606506,586.8599854,85.54962158,586.8599854,164.1167145,586.8599854,298.1446533,586.8599854,216.8321075,586.8599854,118.1893005,586.8599854,247.1874084,
587.9099731,3.544587612,587.9099731,8.845352173,587.9099731,20.18689346,587.9099731,42.04982376,587.9099731,85.00344849,587.9099731,159.511322,587.9099731,289.2680054,587.9099731,212.5302887,587.9099731,114.4067307,587.9099731,242.1939545,
588.9500122,3.371494055,588.9500122,8.612783432,588.9500122,19.34060097,588.9500122,40.53702927,588.9500122,79.99299622,588.9500122,153.411377,588.9500122,279.7601318,588.9500122,200.3645325,588.9500122,109.2138367,588.9500122,233.7921906,
589.8499756,3.338689566,589.8499756,8.113121986,589.8499756,18.78064156,589.8499756,38.63245392,589.8499756,78.64749908,589.8499756,150.2230377,589.8499756,271.4585876,589.8499756,199.0409546,589.8499756,107.8564987,589.8499756,227.9809265,
590.8800049,3.271923304,590.8800049,8.14296627,590.8800049,18.29930115,590.8800049,37.64793777,590.8800049,76.81182098,590.8800049,145.4566803,590.8800049,257.3721924,590.8800049,191.60466,590.8800049,104.9626923,590.8800049,219.0336304,
591.9099731,3.098410845,591.9099731,7.817402363,591.9099731,18.03974342,591.9099731,36.32640457,591.9099731,72.58818817,591.9099731,139.4075928,591.9099731,254.0048065,591.9099731,186.2867279,591.9099731,99.27648926,591.9099731,213.9247742,
592.9400024,3.078349352,592.9400024,7.547492027,592.9400024,17.4923439,592.9400024,35.21670532,592.9400024,71.15075684,592.9400024,134.8012695,592.9400024,249.7799683,592.9400024,179.6269379,592.9400024,95.55180359,592.9400024,204.6465454,
593.9699707,2.943544388,593.9699707,7.364600182,593.9699707,16.73859024,593.9699707,34.03891754,593.9699707,69.04351807,593.9699707,129.3211823,593.9699707,242.4624023,593.9699707,174.1226044,593.9699707,93.18663025,593.9699707,201.2777252,
594.8499756,2.837134838,594.8499756,7.180797577,594.8499756,16.74272346,594.8499756,33.44175339,594.8499756,67.17544556,594.8499756,126.8821945,594.8499756,234.1663818,594.8499756,169.9026489,594.8499756,91.38114166,594.8499756,193.8487701,
595.8800049,2.725306749,595.8800049,6.883486748,595.8800049,15.93150711,595.8800049,32.22569656,595.8800049,65.61399078,595.8800049,122.452774,595.8800049,225.1229095,595.8800049,162.8318787,595.8800049,86.87057495,595.8800049,190.6593628,
596.9099731,2.629883766,596.9099731,6.769915581,596.9099731,15.15937138,596.9099731,31.11649132,596.9099731,62.21014404,596.9099731,118.2669449,596.9099731,214.0721893,596.9099731,158.8546295,596.9099731,85.88218689,596.9099731,182.0721893,
597.9400024,2.571501017,597.9400024,6.389222622,597.9400024,14.86488056,597.9400024,29.58363152,597.9400024,60.13089371,597.9400024,114.2802429,597.9400024,208.8302155,597.9400024,154.3849487,597.9400024,80.12110901,597.9400024,176.7420502,
598.9699707,2.4376719,598.9699707,6.280233383,598.9699707,14.26657295,598.9699707,29.28139687,598.9699707,59.13917923,598.9699707,110.3464127,598.9699707,205.7026215,598.9699707,149.3135986,598.9699707,80.33965302,598.9699707,171.4101105,
599.8499756,2.482232094,599.8499756,6.073215485,599.8499756,13.90124035,599.8499756,28.03331566,599.8499756,58.61003876,599.8499756,107.7341766,599.8499756,196.3803101,599.8499756,144.9483337,599.8499756,76.54990387,599.8499756,168.8578796,
600.8599854,2.429945946,600.8599854,5.954459667,600.8599854,13.63531303,600.8599854,28.02985954,600.8599854,54.36828613,600.8599854,106.8801498,600.8599854,190.0380249,600.8599854,137.2367096,600.8599854,76.19425201,600.8599854,160.1460419,
601.8800049,2.261229753,601.8800049,5.584998608,601.8800049,13.08548832,601.8800049,26.22166252,601.8800049,52.21784973,601.8800049,100.576622,601.8800049,184.5630798,601.8800049,133.8676453,601.8800049,71.7250061,601.8800049,154.1391602,
602.8900146,2.201466084,602.8900146,5.551991463,602.8900146,12.55910206,602.8900146,25.32830238,602.8900146,52.07210159,602.8900146,96.935112,602.8900146,178.4990845,602.8900146,131.1052246,602.8900146,68.55408478,602.8900146,151.0202942,
603.9099731,2.080995321,603.9099731,5.32414484,603.9099731,11.91236591,603.9099731,24.58070374,603.9099731,50.09405136,603.9099731,94.16110992,603.9099731,171.425827,603.9099731,124.967926,603.9099731,66.70172882,603.9099731,144.8381042,
604.9199829,1.999906778,604.9199829,5.072954178,604.9199829,11.70628548,604.9199829,23.66920471,604.9199829,48.36647415,604.9199829,89.71009827,604.9199829,165.9411469,604.9199829,119.6135101,604.9199829,64.57315063,604.9199829,138.5488129,
605.9400024,1.974655509,605.9400024,5.031960487,605.9400024,11.1782093,605.9400024,22.52215004,605.9400024,46.23426437,605.9400024,86.01096344,605.9400024,157.8747253,605.9400024,115.0690613,605.9400024,61.8823967,605.9400024,131.6645355,
606.9500122,1.850880265,606.9500122,4.711196899,606.9500122,10.85256863,606.9500122,21.47388077,606.9500122,44.60238647,606.9500122,84.66340637,606.9500122,152.6824493,606.9500122,109.3354492,606.9500122,59.5672493,606.9500122,127.9896774,
607.9699707,1.791174889,607.9699707,4.620921135,607.9699707,10.24350548,607.9699707,20.90058136,607.9699707,42.06774902,607.9699707,80.47312164,607.9699707,146.4040375,607.9699707,107.8426132,607.9699707,56.7844696,607.9699707,123.8694839,
608.8400269,1.696942568,608.8400269,4.431688786,608.8400269,9.870743752,608.8400269,20.18787003,608.8400269,41.07226563,608.8400269,78.84963226,608.8400269,138.9434052,608.8400269,104.4286575,608.8400269,54.84244537,608.8400269,118.8267822,
609.8499756,1.688832641,609.8499756,4.196704388,609.8499756,9.482315063,609.8499756,19.44071579,609.8499756,38.67050171,609.8499756,73.82598877,609.8499756,138.3506165,609.8499756,98.64984131,609.8499756,53.56575394,609.8499756,115.4743805,
610.8800049,1.632312894,610.8800049,4.130321026,610.8800049,9.33612442,610.8800049,18.72154999,610.8800049,37.32456589,610.8800049,71.55257416,610.8800049,131.3772278,610.8800049,94.39706421,610.8800049,51.84508896,610.8800049,108.7018051,
611.9099731,1.554748535,611.9099731,3.857171059,611.9099731,9.007787704,611.9099731,17.80764008,611.9099731,36.74999237,611.9099731,68.1028595,611.9099731,126.757843,611.9099731,92.25525665,611.9099731,48.14354706,611.9099731,105.3852234,
612.9400024,1.482566595,612.9400024,3.739035368,612.9400024,8.604397774,612.9400024,17.01349449,612.9400024,34.90520096,612.9400024,67.79489899,612.9400024,122.4105606,612.9400024,87.39205933,612.9400024,48.24607086,612.9400024,99.8529129,
613.9699707,1.425052643,613.9699707,3.528857946,613.9699707,8.188957214,613.9699707,16.83817291,613.9699707,33.8901825,613.9699707,62.80715179,613.9699707,115.9389496,613.9699707,83.36869812,613.9699707,45.03614044,613.9699707,96.66322327,
614.8499756,1.38765645,614.8499756,3.353928566,614.8499756,7.907557487,614.8499756,15.53270149,614.8499756,32.00627899,614.8499756,60.89216995,614.8499756,111.4687119,614.8499756,80.74855042,614.8499756,45.44288254,614.8499756,93.23356628,
615.8800049,1.334175944,615.8800049,3.372029066,615.8800049,7.419965267,615.8800049,15.20161438,615.8800049,31.2286644,615.8800049,59.38108063,615.8800049,108.5792999,615.8800049,77.35433197,615.8800049,41.45710754,615.8800049,90.62369537,
616.9099731,1.282976985,616.9099731,3.213577986,616.9099731,7.489723206,616.9099731,14.38840389,616.9099731,29.69909477,616.9099731,55.99952698,616.9099731,104.9835739,616.9099731,74.18282318,616.9099731,40.04828262,616.9099731,85.44831848,
617.9400024,1.214529514,617.9400024,3.074125767,617.9400024,6.908742428,617.9400024,14.05437374,617.9400024,27.57354164,617.9400024,53.09143448,617.9400024,97.33546448,617.9400024,71.00268555,617.9400024,39.05069733,617.9400024,83.13043213,
618.9699707,1.165251017,618.9699707,2.941523314,618.9699707,6.696469784,618.9699707,13.3656683,618.9699707,26.88610458,618.9699707,50.47576523,618.9699707,92.78038025,618.9699707,68.18321228,618.9699707,36.51326752,618.9699707,76.17702484,
619.8499756,1.123154759,619.8499756,2.676528454,619.8499756,6.468444347,619.8499756,12.58557606,619.8499756,25.48373222,619.8499756,49.28969193,619.8499756,88.54343414,619.8499756,65.3832016,619.8499756,35.34123611,619.8499756,74.99532318,
620.8800049,1.049699783,620.8800049,2.639696121,620.8800049,6.199514866,620.8800049,12.06351566,620.8800049,24.24307632,620.8800049,46.62261581,620.8800049,87.30713654,620.8800049,61.1537323,620.8800049,33.58202362,620.8800049,71.65908051,
621.9099731,1.01309824,621.9099731,2.544784546,621.9099731,5.914287567,621.9099731,11.27441216,621.9099731,24.11010361,621.9099731,44.3654747,621.9099731,81.43402863,621.9099731,58.89733124,621.9099731,32.10673141,621.9099731,67.91888428,
622.9400024,0.985101819,622.9400024,2.328947306,622.9400024,5.440404892,622.9400024,11.04768944,622.9400024,22.25595284,622.9400024,41.98238754,622.9400024,77.29197693,622.9400024,60.33743668,622.9400024,30.04348373,622.9400024,66.62405396,
623.9699707,0.9559891224,623.9699707,2.412364006,623.9699707,5.350776672,623.9699707,10.70461655,623.9699707,21.92392349,623.9699707,40.63026428,623.9699707,74.00285339,623.9699707,53.99705887,623.9699707,29.5681591,623.9699707,63.95541763,
624.8499756,0.9088802934,624.8499756,2.18137598,624.8499756,5.096808434,624.8499756,10.10130501,624.8499756,20.5084877,624.8499756,38.3191452,624.8499756,69.74256897,624.8499756,52.68598557,624.8499756,28.8189621,624.8499756,62.03991318,
625.8800049,0.856908083,625.8800049,2.159421206,625.8800049,4.837619781,625.8800049,9.756736755,625.8800049,19.46912003,625.8800049,36.83344269,625.8800049,68.42803192,625.8800049,49.97523499,625.8800049,27.18960953,625.8800049,58.78273392,
626.9099731,0.8402037621,626.9099731,2.006107092,626.9099731,4.615681171,626.9099731,9.579728127,626.9099731,19.78976059,626.9099731,35.45656586,626.9099731,67.53749847,626.9099731,47.74521637,626.9099731,25.65505791,626.9099731,53.83539581,
627.9400024,0.7869277596,627.9400024,1.958315015,627.9400024,4.449927807,627.9400024,9.116586685,627.9400024,18.19913673,627.9400024,33.80295181,627.9400024,63.16776657,627.9400024,44.97370148,627.9400024,25.15418625,627.9400024,53.50446701,
628.9699707,0.7581147552,628.9699707,1.854218721,628.9699707,4.140987873,628.9699707,8.531846046,628.9699707,17.0086937,628.9699707,33.34571838,628.9699707,57.81212616,628.9699707,45.02989578,628.9699707,23.32166862,628.9699707,48.75103378,
629.8499756,0.7573845387,629.8499756,1.787598133,629.8499756,3.898040056,629.8499756,8.287225723,629.8499756,16.83592224,629.8499756,30.92012215,629.8499756,55.54011917,629.8499756,42.56510162,629.8499756,22.10328674,629.8499756,47.8053093,
630.8599854,0.7123807073,630.8599854,1.750970364,630.8599854,3.84975028,630.8599854,7.818993092,630.8599854,15.47794151,630.8599854,29.70095825,630.8599854,54.58974838,630.8599854,41.68525696,630.8599854,21.16817474,630.8599854,44.11045456,
631.8800049,0.6552847624,631.8800049,1.541434884,631.8800049,3.723022223,631.8800049,7.280935287,631.8800049,14.65816307,631.8800049,29.01343727,631.8800049,50.7947464,631.8800049,37.94387817,631.8800049,20.85323334,631.8800049,44.55962753,
632.8900146,0.5939210653,632.8900146,1.499785304,632.8900146,3.521924257,632.8900146,7.245821953,632.8900146,14.87471008,632.8900146,27.74490738,632.8900146,50.88687134,632.8900146,36.74042892,632.8900146,19.09277916,632.8900146,40.40042877,
633.9099731,0.589355886,633.9099731,1.42838037,633.9099731,3.4430511,633.9099731,6.781451702,633.9099731,13.89585495,633.9099731,25.65545654,633.9099731,45.88258743,633.9099731,34.71356964,633.9099731,18.96006584,633.9099731,39.45613098,
634.9199829,0.5843949318,634.9199829,1.422416568,634.9199829,3.210024595,634.9199829,6.258376598,634.9199829,13.00968552,634.9199829,25.65237808,634.9199829,46.4833107,634.9199829,34.35284805,634.9199829,18.11625862,634.9199829,38.909935,
635.9400024,0.5705150366,635.9400024,1.34933424,635.9400024,3.133861542,635.9400024,6.282629013,635.9400024,12.56061459,635.9400024,23.61518478,635.9400024,42.24816513,635.9400024,32.46165085,635.9400024,16.85665131,635.9400024,37.85868835,
636.9500122,0.5695645213,636.9500122,1.243461609,636.9500122,2.939478874,636.9500122,6.029942036,636.9500122,11.86447048,636.9500122,23.1525631,636.9500122,41.7264328,636.9500122,29.92540741,636.9500122,16.2187748,636.9500122,33.75899506,
637.9699707,0.5461881757,637.9699707,1.180685878,637.9699707,2.855277061,637.9699707,5.754255295,637.9699707,11.71449566,637.9699707,22.19947624,637.9699707,41.70092773,637.9699707,28.20641518,637.9699707,14.74670887,637.9699707,32.37582779,
638.8400269,0.4661041796,638.8400269,1.189304709,638.8400269,2.766496897,638.8400269,5.308848858,638.8400269,10.87757301,638.8400269,20.62471581,638.8400269,39.66807938,638.8400269,28.17888451,638.8400269,15.13729,638.8400269,31.99085999,
639.8499756,0.4616805315,639.8499756,1.140411735,639.8499756,2.647629023,639.8499756,5.182952404,639.8499756,10.77252007,639.8499756,19.9824543,639.8499756,36.44338989,639.8499756,26.885849,639.8499756,14.73753643,639.8499756,30.04019165,
640.8599854,0.471555531,640.8599854,1.105583191,640.8599854,2.540671587,640.8599854,5.04080677,640.8599854,10.28099823,640.8599854,18.36932373,640.8599854,36.51501846,640.8599854,24.48757553,640.8599854,13.57904339,640.8599854,28.7495079,
641.8800049,0.4385809004,641.8800049,1.092339039,641.8800049,2.390686035,641.8800049,4.926855564,641.8800049,9.769115448,641.8800049,18.37822151,641.8800049,33.10808563,641.8800049,24.55375862,641.8800049,12.55580044,641.8800049,28.57991982,
