λ 5,I 5,λ 4,I 4,no λ 4,no I 4,λ 3,I 3,λ 2,I 2,λ 1,I 1,λ 0.8,I 0.8,λ 0.6,I 0.6,λ 0.4,I 0.4,λ 0.2,I 0.2,λ 0.1,I 0.1,σ I 5,σ I 4,σ I 3,σ I 2,σ I 1,σ I 0.8,σ I 0.6,σ I 0.4,σ I 0.2,σ I 0.1
534.9199829,311.3305054,534.9199829,291.8778687,534.9199829,370.3312988,534.9199829,299.8882446,534.9199829,222.3771973,534.9199829,114.3102646,534.9199829,83.05129242,534.9199829,58.44406128,534.9199829,26.63675308,534.9199829,9.813858986,534.9199829,5.872784615,,,,,,,,,,
535.9699707,349.7627869,535.9699707,326.3576965,535.9699707,413.9832764,535.9699707,333.1393127,535.9699707,244.6636353,535.9699707,126.3955078,535.9699707,91.18878937,535.9699707,62.94159698,535.9699707,29.18413734,535.9699707,10.78225517,535.9699707,6.345533848,,,,,,,,,,
536.8599854,384.2583313,536.8599854,356.1679382,536.8599854,450.3169556,536.8599854,361.7224426,536.8599854,262.5028687,536.8599854,136.6796265,536.8599854,98.32529449,536.8599854,68.48265076,536.8599854,31.01394081,536.8599854,11.5098753,536.8599854,6.829025269,,,,,,,,,,
537.9099731,432.5178528,537.9099731,399.8148804,537.9099731,500.9906921,537.9099731,397.8399963,537.9099731,291.3002014,537.9099731,147.5623322,537.9099731,106.3406906,537.9099731,74.74131012,537.9099731,33.57608795,537.9099731,12.52956772,537.9099731,7.402870655,,,,,,,,,,
538.9500122,482.6352234,538.9500122,444.0917969,538.9500122,550.1333008,538.9500122,439.6521301,538.9500122,318.5211792,538.9500122,159.8696594,538.9500122,115.3059235,538.9500122,81.22145081,538.9500122,36.55768204,538.9500122,13.46397972,538.9500122,8.045880318,,,,,,,,,,
539.8499756,516.2911377,539.8499756,477.0442505,539.8499756,591.8447266,539.8499756,464.0420837,539.8499756,337.0258179,539.8499756,170.0092163,539.8499756,121.955307,539.8499756,85.5187912,539.8499756,38.45122147,539.8499756,14.19027328,539.8499756,8.396784782,,,,,,,,,,
540.8900146,575.6019287,540.8900146,522.8222656,540.8900146,643.2838135,540.8900146,502.2406006,540.8900146,361.7535706,540.8900146,181.7470093,540.8900146,130.8075714,540.8900146,90.8592453,540.8900146,41.13162994,540.8900146,15.22309017,540.8900146,8.849244118,,,,,,,,,,
541.9400024,623.5809326,541.9400024,563.9364014,541.9400024,690.4248047,541.9400024,537.2595825,541.9400024,383.0764771,541.9400024,191.3039398,541.9400024,137.0662079,541.9400024,95.57348633,541.9400024,43.68620682,541.9400024,15.95530701,541.9400024,9.361945152,,,,,,,,,,
542.8300171,663.6782227,542.8300171,596.5109863,542.8300171,725.6035156,542.8300171,561.2457275,542.8300171,399.463623,542.8300171,199.8017426,542.8300171,141.4533691,542.8300171,100.1285553,542.8300171,44.71741486,542.8300171,16.64976311,542.8300171,9.707472801,,,,,,,,,,
543.8800049,708.9206543,543.8800049,634.7398682,543.8800049,767.0726929,543.8800049,590.8521118,543.8800049,422.5342102,543.8800049,209.2955933,543.8800049,148.6174622,543.8800049,104.0625305,543.8800049,46.86981583,543.8800049,17.25582123,543.8800049,10.09325123,,,,,,,,,,
