Normalized Wavelength,Intensity
401.4958,0.01713359
402.2151,0.01713453
402.9344,0.01713548
403.6537,0.01713642
404.373,0.01713736
405.0923,0.0171383
405.8116,0.01713924
406.531,0.01714019
407.2503,0.01714113
407.9696,0.01714207
408.6889,0.01714301
409.4082,0.01714395
410.1276,0.01714489
410.8469,0.01714584
411.5662,0.01714678
412.2855,0.01714772
413.0048,0.01714866
413.7241,0.0171496
414.4435,0.01715055
415.1628,0.01715149
415.8821,0.01715243
416.6014,0.01715337
417.3207,0.01715431
418.04,0.01715525
418.7593,0.0171562
419.4786,0.01715714
420.198,0.01715808
420.9166,0.01809519
421.6359,0.01809613
422.3559,0.01716091
423.0752,0.01716185
423.7945,0.01716279
424.5131,0.0180999
425.2325,0.01810084
425.9518,0.01810179
426.6711,0.01810273
427.3904,0.01810367
428.1097,0.01810461
428.829,0.01810555
429.5483,0.01810649
430.2676,0.01810744
430.9862,0.01904455
431.7056,0.01904549
432.4241,0.0199826
433.1435,0.01998354
433.8628,0.01998448
434.5821,0.01998543
435.3014,0.01998637
436.02,0.02092348
436.7393,0.02092442
437.4586,0.02092536
438.1779,0.0209263
438.8972,0.02092724
439.6158,0.02186436
440.3344,0.02280147
441.053,0.02373858
441.7723,0.02373952
442.4909,0.02467663
443.2103,0.02467757
443.9296,0.02467852
444.6482,0.02561563
445.3668,0.02655274
446.0861,0.02655368
446.8047,0.02749079
447.5233,0.0284279
448.2419,0.02936501
448.9612,0.02936595
449.6797,0.03030307
450.3983,0.03124018
451.1169,0.03217729
451.8355,0.0331144
452.5541,0.03405151
453.2727,0.03498862
453.9913,0.03592573
454.7099,0.03686285
455.4285,0.03779995
456.1471,0.03873707
456.8657,0.03967418
457.5835,0.04154746
458.3021,0.04248457
459.0207,0.04342168
459.7393,0.04435879
460.4579,0.0452959
461.1765,0.04623301
461.8943,0.04810629
462.6129,0.04904341
463.3308,0.05091668
464.0487,0.05278996
464.7665,0.05466325
465.4851,0.05560036
466.203,0.05747364
466.9209,0.05934692
467.638,0.06215636
468.3566,0.06309348
469.0738,0.06590293
469.7916,0.06777621
470.5088,0.07058566
471.2267,0.07245895
471.9438,0.0752684
472.6588,0.08088634
473.3773,0.08182345
474.0945,0.08463291
474.8109,0.08837853
475.5288,0.09025181
476.2452,0.09399743
476.9623,0.09680688
478.3923,0.1080428
479.108,0.1127246
479.8244,0.1164702
480.5401,0.121152
481.2558,0.1258338
481.9722,0.1295794
482.6887,0.133325
483.4036,0.138943
484.1172,0.1464333
484.8329,0.1511151
485.55,0.1539245
486.265,0.1595425
486.9814,0.1632881
487.6964,0.168906
488.4142,0.1707793
489.1306,0.1745249
489.8456,0.1801429
490.562,0.1838885
491.2799,0.1857618
491.9985,0.1866989
492.7113,0.1951254
493.427,0.1998072
494.1434,0.2035528
494.862,0.2044899
495.5792,0.2072994
496.2963,0.2101088
