Sample2,,Sample2,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
608.8400269,161.749176,473.9299927,201.9228973,
609.8499756,156.9255371,475,213.0916595,
610.8800049,150.9773712,476.0599976,226.1940308,
611.9099731,145.6825562,476.9599915,237.1322937,
612.9400024,140.0273285,478.0299988,249.8920898,
613.9699707,132.8878632,478.9299927,264.5441284,
614.8499756,127.8060684,480,279.4461365,
615.8800049,121.6930923,481.0599976,301.3960266,
616.9099731,117.6385193,481.9599915,321.7159424,
617.9400024,111.3027725,483.0299988,336.2674561,
618.9699707,106.7204056,483.9299927,343.5608215,
619.8499756,102.2607803,485,351.0576477,
620.8800049,99.30552673,486.0599976,359.9356079,
621.9099731,94.4181366,486.9599915,367.9549561,
622.9400024,89.46920013,488.0299988,375.6619568,
623.9699707,85.32240295,488.9299927,383.2509766,
624.8499756,82.48745728,490,396.4303894,
625.8800049,78.48783875,491.0400085,400.8109741,
626.9099731,74.44342041,491.9400024,403.1739502,
627.9400024,70.86412811,492.980011,405.5205688,
628.9699707,67.88579559,494.019989,413.1858521,
629.8499756,65.39614868,495.0700073,417.88797,
630.8599854,62.34884644,495.9700012,428.5391846,
631.8800049,58.9759903,497.0100098,440.5176086,
632.8900146,55.54585648,498.0499878,451.8658447,
633.9099731,53.81075287,498.9500122,456.3157349,
634.9199829,51.41812515,500,462.3210754,
635.9400024,49.42948532,501.0400085,470.6921997,
636.9500122,46.78250885,501.9400024,487.8636169,
637.9699707,44.39982605,502.980011,497.706604,
638.8400269,43.37446213,504.019989,517.7468872,
639.8499756,41.24383163,505.0700073,530.8912354,
640.8599854,39.81981277,505.9700012,550.5638428,
641.8800049,37.67933655,507.0100098,571.2659912,
642.8900146,36.22356796,508.0499878,593.5747681,
643.9099731,34.7313118,508.9500122,620.5980225,
644.9199829,32.99219894,510,639.7468872,
645.9400024,31.51997185,511.0599976,656.1946411,
646.9500122,30.07751656,511.9599915,671.5510254,
647.9699707,29.24398613,513.0300293,701.6870117,
