0,,1,,2,,3,,4,,5,,6,,7,,8,,fondo,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
384,10.17929459,384,7.648626804,384,4.572634697,384,2.809936047,384,1.533742309,384,0,384,0.4696489573,384,0.1180776954,384,-0.3648747206,384,-0.4709761143,
385.0700073,9.712145805,385.0700073,6.718287468,385.0700073,3.548196316,385.0700073,2.280638456,385.0700073,1.877273321,385.0700073,1.188354135,385.0700073,0.4634994268,385.0700073,-0.2443195879,385.0700073,0.362231344,385.0700073,0.2386634946,
386,9.065294266,386,7.315958023,386,3.784742594,386,3.188097954,386,1.323069572,386,0.2387489527,386,1.010228515,386,0.7019185424,386,0.7280670404,386,-0.1184553429,
387.0700073,10.25407314,387.0700073,8.396501541,387.0700073,5.198487759,387.0700073,3.328359842,387.0700073,2.124144554,387.0700073,1.294117689,387.0700073,0.8384237885,387.0700073,0.3678724766,387.0700073,0.6068697572,387.0700073,0.7205476165,
388,10.41028786,388,7.483629704,388,4.801499367,388,2.880115271,388,1.568911314,388,1.526358962,388,0.6294850707,388,0.9236808419,388,0.5773005486,388,0.1230617762,
389.0700073,10.06751156,389.0700073,8.53788662,389.0700073,3.803185225,389.0700073,3.259604216,389.0700073,1.816860557,389.0700073,1.347543836,389.0700073,0.976324141,389.0700073,1.044447064,389.0700073,0.5982292295,389.0700073,0.8434751034,
390,11.64399338,390,8.991578102,390,5.700712681,390,3.386141062,390,2.725441456,390,1.783378839,390,1.277732611,390,1.065971851,390,1.519179702,390,1.494023919,
391.0700073,12.68674469,391.0700073,9.801633835,391.0700073,6.240638733,391.0700073,3.96408987,391.0700073,3.023705959,391.0700073,2.495462656,391.0700073,1.398957133,391.0700073,1.853911757,391.0700073,1.361554623,391.0700073,1.969187975,
392,12.56668663,392,8.452064514,392,6.303030491,392,5.046774864,392,4.454864979,392,2.790048599,392,2.468265057,392,2.513510227,392,1.359199286,392,1.704199553,
393.0700073,13.04446411,393.0700073,9.890242577,393.0700073,6.46526432,393.0700073,4.352692604,393.0700073,5.071950912,393.0700073,3.663436413,393.0700073,3.108932257,393.0700073,3.022974491,393.0700073,3.005530119,393.0700073,2.603550196,
394,13.92926407,394,10.91912651,394,8.436783791,394,6.224309921,394,5.556212425,394,3.699136972,394,3.086800814,394,3.587776899,394,3.346880198,394,4.12583828,
395.0700073,15.26195908,395.0700073,12.17038536,395.0700073,9.13506031,395.0700073,7.459095001,395.0700073,6.414825439,395.0700073,4.176818848,395.0700073,3.526693344,395.0700073,4.219933033,395.0700073,4.172627449,395.0700073,3.652300835,
396,15.69220066,396,14.83991528,396,9.684361458,396,7.439773083,396,5.772005558,396,5.593536377,396,3.470144749,396,3.11122632,396,3.441494703,396,3.086066961,
397.0700073,16.39162827,397.0700073,13.60698509,397.0700073,10.86828136,397.0700073,8.590860367,397.0700073,6.17522192,397.0700073,4.456327915,397.0700073,4.645622253,397.0700073,3.966822863,397.0700073,4.877468586,397.0700073,3.982703686,
398,16.84801674,398,13.57053185,398,8.958837509,398,9.38086319,398,7.45013237,398,4.553946495,398,4.410537243,398,4.090739727,398,4.25376749,398,3.812569141,
