TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	125/04/09
TIME	10:37:46
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
1.00000
0.00001
FIRSTX	650.0000
LASTX	400.0000
NPOINTS	251
FIRSTY	0.06547
MAXY	0.35030
MINY	0.06475
650.0000	0.06547
649.0000	0.06556
648.0000	0.06583
647.0000	0.06493
646.0000	0.06611
645.0000	0.0662
644.0000	0.06475
643.0000	0.06628
642.0000	0.0661
641.0000	0.06593
640.0000	0.06581
639.0000	0.06538
638.0000	0.06585
637.0000	0.06596
636.0000	0.06552
635.0000	0.06713
634.0000	0.06605
633.0000	0.06594
632.0000	0.06635
631.0000	0.06668
630.0000	0.06731
629.0000	0.06721
628.0000	0.06693
627.0000	0.06658
626.0000	0.06682
625.0000	0.066
624.0000	0.06688
623.0000	0.0672
622.0000	0.06758
621.0000	0.06734
620.0000	0.06718
619.0000	0.06771
618.0000	0.0674
617.0000	0.06699
616.0000	0.06736
615.0000	0.06801
614.0000	0.06719
613.0000	0.06813
612.0000	0.0675
611.0000	0.0676
610.0000	0.06844
609.0000	0.06825
608.0000	0.06947
607.0000	0.06803
606.0000	0.0679
605.0000	0.06862
604.0000	0.0695
603.0000	0.06793
602.0000	0.06817
601.0000	0.06788
600.0000	0.06946
599.0000	0.06827
598.0000	0.06921
597.0000	0.06828
596.0000	0.06765
595.0000	0.0687
594.0000	0.06746
593.0000	0.06832
592.0000	0.06843
591.0000	0.06851
590.0000	0.0686
589.0000	0.06895
588.0000	0.06803
587.0000	0.06864
586.0000	0.06814
585.0000	0.06973
584.0000	0.06888
583.0000	0.06857
582.0000	0.06907
581.0000	0.06951
580.0000	0.06899
579.0000	0.06898
578.0000	0.06938
577.0000	0.06944
576.0000	0.06892
575.0000	0.07039
574.0000	0.0697
573.0000	0.06903
572.0000	0.07023
571.0000	0.07084
570.0000	0.07111
569.0000	0.0716
568.0000	0.07162
567.0000	0.07274
566.0000	0.07328
565.0000	0.07372
564.0000	0.07395
563.0000	0.07595
562.0000	0.07667
561.0000	0.07786
560.0000	0.08064
559.0000	0.08077
558.0000	0.08381
557.0000	0.08625
556.0000	0.08876
555.0000	0.09178
554.0000	0.09541
553.0000	0.10094
552.0000	0.10517
551.0000	0.11079
550.0000	0.11636
549.0000	0.12366
548.0000	0.13047
547.0000	0.14042
546.0000	0.14836
545.0000	0.15959
544.0000	0.17009
543.0000	0.18277
542.0000	0.19369
541.0000	0.20657
540.0000	0.22031
539.0000	0.23453
538.0000	0.24993
537.0000	0.26323
536.0000	0.27745
535.0000	0.28953
534.0000	0.30314
533.0000	0.31482
532.0000	0.32508
531.0000	0.33314
530.0000	0.33979
529.0000	0.34578
528.0000	0.34844
527.0000	0.35027
526.0000	0.3503
525.0000	0.34945
524.0000	0.34452
523.0000	0.33879
522.0000	0.33274
521.0000	0.32742
520.0000	0.32124
519.0000	0.31039
518.0000	0.30276
517.0000	0.29283
516.0000	0.28274
515.0000	0.27338
514.0000	0.26341
513.0000	0.25575
512.0000	0.24694
511.0000	0.2378
510.0000	0.231
509.0000	0.22463
508.0000	0.21797
507.0000	0.21198
506.0000	0.20695
505.0000	0.20153
504.0000	0.19649
503.0000	0.19307
502.0000	0.18936
501.0000	0.18787
500.0000	0.18508
499.0000	0.18187
498.0000	0.18021
497.0000	0.17767
496.0000	0.17606
495.0000	0.17435
494.0000	0.17231
493.0000	0.16913
492.0000	0.16766
491.0000	0.16471
490.0000	0.16186
489.0000	0.15959
488.0000	0.15741
487.0000	0.15465
486.0000	0.14981
485.0000	0.14688
484.0000	0.14294
483.0000	0.14027
482.0000	0.13673
481.0000	0.13375
480.0000	0.13073
479.0000	0.12748
478.0000	0.12462
477.0000	0.12103
476.0000	0.11906
475.0000	0.11603
474.0000	0.11324
473.0000	0.1109
472.0000	0.10912
471.0000	0.10681
470.0000	0.10489
469.0000	0.10478
468.0000	0.10172
467.0000	0.1014
466.0000	0.09891
465.0000	0.09816
464.0000	0.09794
463.0000	0.09629
462.0000	0.09611
461.0000	0.09556
460.0000	0.095
459.0000	0.09365
458.0000	0.09262
457.0000	0.09138
456.0000	0.09233
455.0000	0.09113
454.0000	0.09007
453.0000	0.08843
452.0000	0.08853
451.0000	0.08697
450.0000	0.08762
449.0000	0.08876
448.0000	0.08592
447.0000	0.08702
446.0000	0.08601
445.0000	0.08554
444.0000	0.08551
443.0000	0.08418
442.0000	0.0839
441.0000	0.08293
440.0000	0.0843
439.0000	0.0854
438.0000	0.08334
437.0000	0.08358
436.0000	0.08402
435.0000	0.08285
434.0000	0.08236
433.0000	0.08361
432.0000	0.08435
431.0000	0.08461
430.0000	0.0832
429.0000	0.08354
428.0000	0.08329
427.0000	0.08382
426.0000	0.08481
425.0000	0.0846
424.0000	0.08473
423.0000	0.08478
422.0000	0.08552
421.0000	0.08325
420.0000	0.08579
419.0000	0.08583
418.0000	0.08643
417.0000	0.08657
416.0000	0.08538
415.0000	0.08603
414.0000	0.0868
413.0000	0.08613
412.0000	0.08791
411.0000	0.08813
410.0000	0.08845
409.0000	0.08801
408.0000	0.08981
407.0000	0.08986
406.0000	0.088
405.0000	0.09116
404.0000	0.0903
403.0000	0.09135
402.0000	0.09111
401.0000	0.09226
400.0000	0.09054
