Wavelength,Absorbance
350.0,-0.0028410000000000032
349.0,-0.0008910000000000029
348.0,-0.005201000000000004
347.0,-0.004071000000000005
346.0,-0.002161000000000003
345.0,-0.004980999999999999
344.0,-0.005371000000000001
343.0,-0.0028910000000000047
342.0,-0.005491000000000003
341.0,-0.0026410000000000045
340.0,-0.0011810000000000015
339.0,-0.002451000000000002
338.0,-0.0028610000000000024
337.0,-0.0024410000000000057
336.0,-0.003280999999999999
335.0,-0.003931000000000004
334.0,-0.002350999999999999
333.0,-0.0011110000000000009
332.0,-0.002701000000000002
331.0,-0.002821000000000004
330.0,-0.0030910000000000035
329.0,-0.0025310000000000055
328.0,-0.0021010000000000056
327.0,-0.0031209999999999988
326.0,-0.003051000000000005
325.0,-0.0018910000000000038
324.0,-0.0017510000000000026
323.0,-0.0030010000000000037
322.0,-0.0022110000000000046
321.0,-0.001451000000000001
320.0,-0.002021000000000002
319.0,-0.0009709999999999996
318.0,-0.0011410000000000031
317.0,-0.0016010000000000052
316.0,-0.0010810000000000056
315.0,-0.0015910000000000021
314.0,-0.0017810000000000048
313.0,-0.001021000000000001
312.0,-0.0023010000000000044
311.0,-0.0009410000000000043
310.0,-0.0008610000000000007
309.0,-0.0004910000000000053
308.0,-0.0002710000000000004
307.0,-0.0008310000000000053
306.0,-0.001801000000000004
305.0,0.00020900000000000085
304.0,0.0007489999999999997
303.0,-0.0003510000000000041
302.0,0.0005490000000000009
301.0,-0.0003310000000000049
300.0,0.000778999999999995
299.0,0.0010289999999999952
298.0,0.0023989999999999984
297.0,0.0012689999999999993
296.0,0.0013989999999999975
295.0,0.0018589999999999995
294.0,0.0020589999999999983
293.0,0.0025190000000000004
292.0,0.002368999999999996
291.0,0.0029789999999999955
290.0,0.0012989999999999946
289.0,0.002828999999999998
288.0,0.0028590000000000004
287.0,0.0021790000000000004
286.0,0.004108999999999995
285.0,0.0036389999999999964
284.0,0.004358999999999995
283.0,0.004448999999999995
282.0,0.0030789999999999984
281.0,0.0036489999999999995
280.0,0.004638999999999997
279.0,0.004368999999999998
278.0,0.0054489999999999955
277.0,0.005428999999999996
276.0,0.004278999999999998
275.0,0.0052289999999999975
274.0,0.005698999999999996
273.0,0.005999000000000004
272.0,0.005268999999999996
271.0,0.006278999999999993
270.0,0.007208999999999993
269.0,0.007088999999999998
268.0,0.006939000000000001
267.0,0.008248999999999992
266.0,0.0078089999999999965
265.0,0.007469000000000003
264.0,0.007939000000000002
263.0,0.008308999999999997
262.0,0.008899000000000004
261.0,0.008358999999999991
260.0,0.009299000000000002
259.0,0.009378999999999998
258.0,0.009028999999999995
257.0,0.008649000000000004
256.0,0.009858999999999993
255.0,0.008939000000000002
254.0,0.010759000000000005
253.0,0.011278999999999997
252.0,0.012118999999999991
251.0,0.012888999999999998
250.0,0.012449000000000002
249.0,0.014199000000000003
248.0,0.013648999999999994
247.0,0.014188999999999993
246.0,0.014919000000000002
245.0,0.01594899999999999
244.0,0.015588999999999992
243.0,0.016298999999999994
242.0,0.016688999999999996
241.0,0.017008999999999996
240.0,0.019558999999999993
239.0,0.019048999999999996
238.0,0.019509
237.0,0.021109000000000003
236.0,0.019988999999999993
235.0,0.023299
234.0,0.023458999999999994
233.0,0.024159
232.0,0.024928999999999993
231.0,0.02496899999999999
230.0,0.025918999999999998
229.0,0.028669
228.0,0.028129
227.0,0.029828999999999994
226.0,0.03262899999999999
225.0,0.033368999999999996
224.0,0.037128999999999995
223.0,0.039449
222.0,0.038668999999999995
221.0,0.042519
220.0,0.046099
219.0,0.047849
218.0,0.048859
217.0,0.055949
216.0,0.05986899999999999
215.0,0.062199000000000004
214.0,0.067969
213.0,0.07631899999999998
212.0,0.089569
211.0,0.09984900000000001
210.0,0.11975899999999999
209.0,0.141859
208.0,0.178489
207.0,0.230699
206.0,0.309889
205.0,0.427009
204.0,0.586709
203.0,0.803249
202.0,1.082629
201.0,1.344899
200.0,1.501139
199.0,1.514429
198.0,1.464669
197.0,1.414419
196.0,1.362519
195.0,1.265499
194.0,1.195409
193.0,1.0554890000000001
192.0,0.908309
191.0,0.794809
190.0,0.648099
