Wavelength,Absorbance
350.0,-8.500000000000868e-05
349.0,0.00122499999999999
348.0,0.0022049999999999917
347.0,-0.00016499999999999848
346.0,0.0012649999999999953
345.0,0.0012649999999999884
344.0,0.00480499999999999
343.0,-0.0005549999999999999
342.0,0.0027749999999999928
341.0,0.0004749999999999893
340.0,0.0007049999999999973
339.0,0.002254999999999986
338.0,0.002914999999999987
337.0,0.001674999999999989
336.0,0.003124999999999996
335.0,0.0038549999999999973
334.0,0.0030549999999999952
333.0,0.0027449999999999974
332.0,0.004274999999999994
331.0,0.004244999999999999
330.0,0.0039849999999999955
329.0,0.003244999999999998
328.0,0.0038849999999999996
327.0,0.004244999999999985
326.0,0.005994999999999993
325.0,0.003904999999999992
324.0,0.0050049999999999956
323.0,0.004944999999999991
322.0,0.0037849999999999967
321.0,0.004814999999999993
320.0,0.0044249999999999914
319.0,0.004904999999999993
318.0,0.0038449999999999873
317.0,0.005614999999999995
316.0,0.004604999999999991
315.0,0.004874999999999997
314.0,0.005385000000000001
313.0,0.005914999999999997
312.0,0.006424999999999993
311.0,0.0058949999999999905
310.0,0.007154999999999995
309.0,0.006385000000000002
308.0,0.005744999999999993
307.0,0.006585000000000001
306.0,0.007974999999999989
305.0,0.006744999999999987
304.0,0.006154999999999994
303.0,0.007605000000000001
302.0,0.0071249999999999855
301.0,0.008384999999999997
300.0,0.007284999999999993
299.0,0.007904999999999988
298.0,0.007184999999999997
297.0,0.008284999999999994
296.0,0.00931499999999999
295.0,0.00924499999999999
294.0,0.009764999999999989
293.0,0.011024999999999986
292.0,0.00967499999999999
291.0,0.011954999999999993
290.0,0.01196499999999999
289.0,0.01214499999999999
288.0,0.013454999999999995
287.0,0.014924999999999994
286.0,0.014535
285.0,0.015164999999999991
284.0,0.015114999999999996
283.0,0.016305
282.0,0.01647499999999999
281.0,0.018164999999999987
280.0,0.016534999999999987
279.0,0.01765499999999999
278.0,0.01715499999999999
277.0,0.018154999999999998
276.0,0.01960499999999999
275.0,0.020024999999999987
274.0,0.019495
273.0,0.019644999999999982
272.0,0.020745
271.0,0.020925
270.0,0.021474999999999994
269.0,0.021434999999999996
268.0,0.022084999999999994
267.0,0.021584999999999993
266.0,0.021294999999999994
265.0,0.022034999999999985
264.0,0.022104999999999986
263.0,0.021514999999999992
262.0,0.023394999999999985
261.0,0.023235000000000006
260.0,0.023364999999999983
259.0,0.02374499999999999
258.0,0.024575
257.0,0.02689499999999999
256.0,0.027755000000000002
255.0,0.030304999999999985
254.0,0.03203499999999998
253.0,0.03562499999999999
252.0,0.040935
251.0,0.04886499999999999
250.0,0.058524999999999994
249.0,0.07196499999999997
248.0,0.089745
247.0,0.11271500000000002
246.0,0.140515
245.0,0.170775
244.0,0.21207499999999999
243.0,0.254585
242.0,0.300025
241.0,0.350475
240.0,0.400555
239.0,0.45297500000000007
238.0,0.501825
237.0,0.5502849999999999
236.0,0.5924949999999999
235.0,0.632185
234.0,0.664495
233.0,0.6935749999999999
232.0,0.720115
231.0,0.743725
230.0,0.7673449999999999
229.0,0.7897749999999999
228.0,0.816535
227.0,0.842795
226.0,0.8806849999999999
225.0,0.9242649999999999
224.0,0.985425
223.0,1.0479249999999998
222.0,1.128115
221.0,1.218355
220.0,1.3286449999999999
219.0,1.456585
218.0,1.5983049999999999
217.0,1.757935
216.0,1.925355
215.0,2.082355
214.0,2.194095
213.0,2.2297450000000003
212.0,2.2157150000000003
211.0,2.172645
210.0,2.129275
209.0,2.090985
208.0,2.014355
207.0,1.911655
206.0,1.8036250000000003
205.0,1.621995
204.0,1.424125
203.0,1.154935
202.0,0.843475
201.0,0.517485
200.0,0.33125499999999986
199.0,0.26265499999999986
198.0,0.24460499999999996
197.0,0.21704499999999993
196.0,0.18613499999999994
195.0,0.16400499999999996
194.0,0.15186499999999992
193.0,0.14376499999999992
192.0,0.15058499999999997
191.0,0.13917499999999994
190.0,0.10936499999999993
