Distance_(pixels),Gray_Value
454,160.6235
455,160.5655
456,159.0429
457,159.5941
458,162.1407
459,162.9624
460,161.4737
461,160.0000
462,160.0000
463,159.9876
464,159.8205
465,160.0554
466,159.0697
467,158.5635
468,160.3243
469,161.8489
470,162.0379
471,160.7610
472,159.9192
473,159.9316
474,160.6756
475,162.3876
476,163.0000
477,162.9169
478,163.1042
479,162.9446
480,161.5555
481,160.2833
482,160.5824
483,161.4237
484,160.8438
485,160.1051
486,160.0195
487,160.0769
488,160.7792
489,161.7793
490,162.0000
491,162.0000
492,162.0843
493,162.8117
494,163.7183
495,162.9878
496,162.4976
497,161.0341
498,161.2941
499,162.9713
500,162.9983
501,163.4812
502,165.3574
503,165.0254
504,164.7005
505,164.0835
506,163.5166
507,163.8111
508,163.0583
509,161.8840
510,161.9811
511,162.6873
512,162.3673
513,162.3127
514,161.6169
515,160.1037
516,159.5453
517,161.4221
518,162.7664
519,162.6895
520,162.1171
521,161.8111
522,161.7363
523,162.3492
524,162.7479
525,161.7459
526,161.0117
527,159.7120
528,159.3431
529,160.3504
530,161.7462
531,162.0000
532,161.9776
533,161.9309
534,161.0723
535,162.5338
536,162.9894
537,163.0000
538,162.8241
539,162.0584
540,162.0000
541,162.0000
542,161.9069
543,162.4404
544,163.3043
545,162.9510
546,162.3472
547,161.6098
548,161.4937
549,161.2443
550,161.0040
551,161.2248
552,160.3857
553,159.1850
554,159.4436
555,160.9947
556,162.0000
557,161.6033
558,161.3195
559,161.6271
560,161.3355
561,161.2853
562,160.7544
563,161.0391
564,161.4194
565,162.0000
566,161.8554
567,160.9249
568,160.6337
569,161.7796
570,161.9594
571,160.3337
572,160.1870
573,160.5329
574,159.7447
575,158.5874
576,159.2858
577,161.0590
578,162.1418
579,161.7156
580,159.8590
581,160.6808
582,162.0121
583,161.4217
584,162.2698
585,161.9456
586,160.7003
587,161.2961
588,162.4712
589,163.1368
590,163.3713
591,163.0675
592,162.0932
593,162.4050
594,162.6906
595,162.4560
596,162.1541
597,162.0036
598,162.2476
599,162.4821
600,162.5244
601,161.6228
602,160.3461
603,160.3920
604,159.7182
605,159.4771
606,161.7795
607,162.6364
608,162.5869
609,163.7674
610,162.1759
611,161.1160
612,161.8560
613,162.0000
614,160.4000
615,160.5966
616,161.8482
617,161.3105
618,159.9381
619,160.1072
