0M,,1M,,2M,,3M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
373.0700073,227.3479462,373.0700073,255.306778,373.0700073,478.7130432,373.0700073,516.6742554,
374,214.5018921,374,244.706131,374,470.1563721,374,505.727417,
375.0700073,203.7326355,375.0700073,235.6336823,375.0700073,448.7522583,375.0700073,494.7891235,
376,197.2691193,376,225.3608093,376,437.1042175,376,486.2530212,
377.0700073,189.7849884,377.0700073,213.1708527,377.0700073,421.0254822,377.0700073,470.3927612,
378,181.2533569,378,207.0454254,378,410.428772,378,462.9949036,
379.0700073,173.667572,379.0700073,198.2938232,379.0700073,396.0310364,379.0700073,443.0177002,
380,166.1070251,380,189.1830444,380,386.0778809,380,440.2375793,
381.0700073,159.2886353,381.0700073,178.9240417,381.0700073,372.834137,381.0700073,422.2720947,
382,150.4118347,382,172.4349365,382,363.5239563,382,410.8262024,
383.0700073,140.9987946,383.0700073,164.6014404,383.0700073,342.9744263,383.0700073,395.0131531,
384,135.9737244,384,152.5865936,384,335.462738,384,389.6140442,
385.0700073,131.0426483,385.0700073,150.533905,385.0700073,325.7115784,385.0700073,376.9168701,
386,126.8569946,386,142.8021393,386,312.9994202,386,370.2147217,
387.0700073,121.0325317,387.0700073,138.2584686,387.0700073,299.3145447,387.0700073,356.643219,
388,112.653717,388,128.2193604,388,289.8527222,388,344.5342102,
389.0700073,108.2796936,389.0700073,122.9620438,389.0700073,283.9319763,389.0700073,336.6860657,
390,103.3097076,390,118.67379,390,271.0734558,390,324.0645752,
391.0700073,98.3921051,391.0700073,113.033432,391.0700073,260.9740601,391.0700073,311.3270874,
392,94.94869232,392,109.0762558,392,252.5183563,392,303.7749329,
393.0700073,89.45183563,393.0700073,104.5255356,393.0700073,243.6511688,393.0700073,297.2217102,
394,86.33233643,394,99.48445892,394,240.7152405,394,282.791626,
395.0700073,81.93240356,395.0700073,94.15326691,395.0700073,226.7228699,395.0700073,275.1714478,
