Distance_(microns),Gray_Value
0.00000,286.000
0.00425,186.469
0.00850,305.446
0.01275,56.054
0.01700,99.430
0.02125,399.532
0.02550,312.954
0.02975,182.590
0.03400,143.000
0.03825,198.934
0.04250,356.095
0.04675,354.953
0.05100,105.820
0.05525,7.855
0.05950,124.717
0.06375,207.797
0.06800,143.000
0.07225,141.638
0.07650,86.861
0.08075,127.360
0.08500,520.930
0.08925,175.699
0.09350,71.796
0.09775,1.920
0.10201,458.812
0.10626,204.709
0.11051,339.410
0.11476,564.640
0.11901,190.695
0.12326,55.859
0.12751,167.299
0.13176,223.682
0.13601,250.500
0.14026,201.297
0.14451,95.799
0.14876,91.644
0.15301,98.312
0.15726,178.750
0.16151,192.017
0.16576,14.209
0.17001,125.125
0.17426,144.934
0.17851,210.781
0.18276,177.945
0.18701,269.805
0.19126,71.430
0.19551,294.234
0.19976,193.223
0.20401,116.188
0.20826,110.676
0.21251,109.259
0.21676,178.960
0.22101,180.934
0.22526,199.751
0.22951,290.983
0.23376,135.668
0.23801,145.234
0.24226,0.000
0.24651,99.028
0.25076,102.895
0.25501,191.902
0.25926,284.566
0.26351,225.431
0.26776,237.514
0.27201,143.000
0.27626,222.219
0.28051,366.422
0.28476,181.160
0.28901,21.785
0.29326,109.484
0.29752,120.517
0.30177,150.506
0.30602,129.594
0.31027,74.049
0.31452,156.658
0.31877,147.984
0.32302,125.125
0.32727,230.141
0.33152,143.000
0.33577,185.588
0.34002,250.812
0.34427,137.658
0.34852,143.000
0.35277,144.261
0.35702,34.133
0.36127,212.124
0.36552,204.497
0.36977,160.260
0.37402,145.250
0.37827,243.268
0.38252,394.325
0.38677,387.863
0.39102,401.973
0.39527,246.141
0.39952,143.000
0.40377,268.072
0.40802,430.000
0.41227,484.712
0.41652,143.000
0.42077,143.000
0.42502,126.340
0.42927,79.860
0.43352,178.253
0.43777,172.351
0.44202,178.766
0.44627,297.408
0.45052,423.405
0.45477,180.476
0.45902,538.305
0.46327,475.840
0.46752,377.481
0.47177,235.608
0.47602,196.688
0.48027,432.108
0.48452,569.632
0.48877,462.239
0.49303,500.629
0.49728,477.562
0.50153,225.843
0.50578,412.334
0.51003,608.984
0.51428,288.906
0.51853,251.247
0.52278,588.300
0.52703,527.383
0.53128,633.722
0.53553,688.283
0.53978,714.996
0.54403,717.000
0.54828,573.752
0.55253,549.069
0.55678,405.800
0.56103,610.055
0.56528,512.332
0.56953,613.079
0.57378,1001.240
0.57803,899.984
0.58228,748.742
0.58653,728.833
0.59078,772.207
0.59503,765.418
0.59928,488.141
0.60353,310.918
0.60778,294.035
0.61203,608.875
0.61628,664.647
0.62053,487.486
0.62478,732.140
0.62903,564.062
0.63328,326.617
0.63753,623.154
0.64178,718.573
0.64603,1031.938
0.65028,1094.911
0.65453,730.203
0.65878,779.879
0.66303,603.938
0.66728,505.899
0.67153,543.618
0.67578,637.144
0.68003,537.250
0.68428,630.198
0.68854,631.995
0.69279,416.777
0.69704,431.633
0.70129,602.914
0.70554,398.780
0.70979,637.371
0.71404,734.000
0.71829,595.816
0.72254,568.811
0.72679,357.453
0.73104,555.125
0.73529,363.480
0.73954,304.826
0.74379,484.409
0.74804,161.125
0.75229,215.203
0.75654,252.915
0.76079,335.579
0.76504,270.184
0.76929,233.277
0.77354,297.299
0.77779,218.181
0.78204,134.297
0.78629,271.935
0.79054,318.359
0.79479,373.152
0.79904,403.188
0.80329,295.847
0.80754,198.986
0.81179,292.885
0.81604,143.000
0.82029,8.693
0.82454,182.241
0.82879,268.184
0.83304,181.543
0.83729,102.781
0.84154,134.202
0.84579,235.412
0.85004,230.141
0.85429,155.304
0.85854,6.578
0.86279,108.574
0.86704,115.629
0.87129,90.597
0.87554,49.156
0.87980,119.783
0.88405,80.438
0.88830,39.767
0.89255,194.772
0.89680,376.708
0.90105,394.688
0.90530,217.122
0.90955,225.488
0.91380,136.990
0.91805,143.000
0.92230,124.846
0.92655,76.545
0.93080,104.566
0.93505,264.688
0.93930,147.504
0.94355,68.567
0.94780,58.186
0.95205,71.500
0.95630,181.590
0.96055,461.226
0.96480,420.992
0.96905,167.793
0.97330,142.406
0.97755,237.062
0.98180,527.612
0.98605,364.984
0.99030,144.934
0.99455,210.765
0.99880,177.715
1.00305,277.062
1.00730,276.621
1.01155,261.191
1.01580,191.861
1.02005,295.500
1.02430,172.181
1.02855,203.705
1.03280,219.359
1.03705,286.562
1.04130,283.203
1.04555,273.623
1.04980,267.885
1.05405,243.781
1.05830,375.042
1.06255,277.579
1.06680,212.750
1.07105,213.688
1.07530,430.000
1.07956,403.094
1.08381,152.459
1.08806,430.000
