Distance_(microns),Gray_Value
0.00000,143.000
0.00425,134.594
0.00850,164.175
0.01275,219.652
0.01700,255.774
0.02125,206.650
0.02550,64.114
0.02975,219.526
0.03400,313.406
0.03825,150.897
0.04250,143.000
0.04675,51.895
0.05100,119.334
0.05525,206.806
0.05950,246.772
0.06375,220.239
0.06800,28.832
0.07225,267.242
0.07650,69.973
0.08075,251.859
0.08500,243.465
0.08925,157.797
0.09350,94.508
0.09775,67.285
0.10201,60.221
0.10626,89.791
0.11051,143.312
0.11476,19.953
0.11901,6.651
0.12326,97.911
0.12751,142.768
0.13176,233.044
0.13601,91.105
0.14026,15.158
0.14451,36.233
0.14876,200.844
0.15301,160.038
0.15726,34.184
0.16151,112.534
0.16576,132.091
0.17001,30.162
0.17426,140.680
0.17851,83.194
0.18276,143.000
0.18701,84.222
0.19126,9.977
0.19551,93.348
0.19976,212.370
0.20401,170.069
0.20826,133.951
0.21251,93.426
0.21676,101.488
0.22101,30.781
0.22526,93.116
0.22951,309.220
0.23376,107.357
0.23801,6.519
0.24226,145.409
0.24651,143.000
0.25076,143.000
0.25501,142.691
0.25926,89.791
0.26351,497.918
0.26776,354.843
0.27201,237.508
0.27626,170.997
0.28051,122.372
0.28476,194.198
0.28901,98.143
0.29326,257.309
0.29752,72.003
0.30177,106.419
0.30602,97.061
0.31027,216.829
0.31452,124.558
0.31877,197.152
0.32302,291.340
0.32727,36.195
0.33152,274.419
0.33577,199.380
0.34002,213.389
0.34427,162.626
0.34852,163.018
0.35277,249.718
0.35702,309.495
0.36127,336.295
0.36552,143.000
0.36977,353.990
0.37402,252.064
0.37827,193.022
0.38252,143.000
0.38677,123.511
0.39102,107.410
0.39527,242.751
0.39952,108.913
0.40377,496.674
0.40802,464.619
0.41227,617.488
0.41652,427.227
0.42077,149.907
0.42502,117.865
0.42927,44.173
0.43352,412.041
0.43777,440.286
0.44202,440.131
0.44627,493.650
0.45052,497.285
0.45477,585.761
0.45902,455.183
0.46327,343.233
0.46752,426.116
0.47177,648.186
0.47602,224.200
0.48027,459.721
0.48452,253.934
0.48877,523.372
0.49303,507.054
0.49728,457.000
0.50153,596.721
0.50578,308.339
0.51003,995.274
0.51428,668.970
0.51853,883.147
0.52278,525.744
0.52703,558.975
0.53128,635.578
0.53553,555.233
0.53978,802.988
0.54403,914.788
0.54828,1003.000
0.55253,630.788
0.55678,879.977
0.56103,929.277
0.56528,840.253
0.56953,853.280
0.57378,1016.258
0.57803,882.745
0.58228,847.332
0.58653,658.452
0.59078,895.055
0.59503,693.406
0.59928,1252.389
0.60353,1283.403
0.60778,830.944
0.61203,1352.479
0.61628,1193.341
0.62053,848.735
0.62478,1283.213
0.62903,1056.011
0.63328,1089.389
0.63753,1135.292
0.64178,1053.751
0.64603,853.884
0.65028,963.140
0.65453,870.434
0.65878,855.433
0.66303,943.465
0.66728,718.981
0.67153,709.358
0.67578,789.984
0.68003,814.372
0.68428,1110.941
0.68854,1047.609
0.69279,528.786
0.69704,626.880
0.70129,416.799
0.70554,522.793
0.70979,545.931
0.71404,660.997
0.71829,626.929
0.72254,542.064
0.72679,504.168
0.73104,287.000
0.73529,613.990
0.73954,392.104
0.74379,415.117
0.74804,699.721
0.75229,362.371
0.75654,331.463
0.76079,206.442
0.76504,411.461
0.76929,815.693
0.77354,562.693
0.77779,340.152
0.78204,203.114
0.78629,336.581
0.79054,308.488
0.79479,253.488
0.79904,220.101
0.80329,169.077
0.80754,239.857
0.81179,98.628
0.81604,279.651
0.82029,426.442
0.82454,400.508
0.82879,201.518
0.83304,226.534
0.83729,298.093
0.84154,48.140
0.84579,102.165
0.85004,252.638
0.85429,356.837
0.85854,286.744
0.86279,203.114
0.86704,234.105
0.87129,169.897
0.87554,123.047
0.87980,201.778
0.88405,130.007
0.88830,301.323
0.89255,238.578
0.89680,198.603
0.90105,143.000
0.90530,112.064
0.90955,85.382
0.91380,286.000
0.91805,150.811
0.92230,163.959
0.92655,126.046
0.93080,183.678
0.93505,212.373
0.93930,120.649
0.94355,29.776
0.94780,19.953
0.95205,248.568
0.95630,31.400
0.96055,124.361
0.96480,189.945
0.96905,212.760
0.97330,117.014
0.97755,211.386
0.98180,292.049
0.98605,152.758
0.99030,13.302
0.99455,207.733
0.99880,242.767
1.00305,256.200
1.00730,189.558
1.01155,61.639
1.01580,129.500
1.02005,221.605
1.02430,19.047
1.02855,174.625
1.03280,0.851
1.03705,133.642
1.04130,209.589
1.04555,119.334
1.04980,16.628
1.05405,65.042
1.05830,145.484
1.06255,140.216
1.06680,26.605
1.07105,9.049
1.07530,168.605
1.07956,264.419
1.08381,182.581
1.08806,135.343
1.09231,126.372
1.09656,1.951E-9
