Distance_(microns),Gray_Value
0.00000,0.000
0.00365,152.624
0.00730,284.169
0.01095,108.823
0.01459,250.633
0.01824,266.276
0.02189,143.374
0.02554,554.576
0.02919,622.640
0.03284,63.661
0.03648,35.367
0.04013,5.719
0.04378,273.449
0.04743,177.517
0.05108,184.047
0.05473,286.000
0.05838,224.651
0.06202,291.187
0.06567,175.545
0.06932,0.000
0.07297,105.422
0.07662,101.477
0.08027,264.328
0.08391,406.770
0.08756,46.396
0.09121,23.805
0.09486,145.142
0.09851,99.573
0.10216,0.000
0.10581,114.400
0.10945,279.144
0.11310,10.882
0.11675,69.034
0.12040,191.460
0.12405,304.838
0.12770,305.111
0.13134,65.090
0.13499,0.000
0.13864,169.628
0.14229,142.014
0.14594,0.000
0.14959,0.000
0.15324,275.214
0.15688,328.210
0.16053,255.209
0.16418,490.095
0.16783,68.891
0.17148,606.930
0.17513,419.516
0.17878,319.816
0.18242,190.780
0.18607,273.349
0.18972,234.880
0.19337,295.982
0.19702,247.032
0.20067,217.772
0.20431,232.813
0.20796,267.500
0.21161,286.000
0.21526,201.934
0.21891,165.615
0.22256,332.585
0.22621,276.076
0.22985,446.437
0.23350,327.624
0.23715,73.627
0.24080,244.809
0.24445,4.295
0.24810,0.000
0.25174,104.334
0.25539,403.344
0.25904,198.829
0.26269,226.828
0.26634,226.828
0.26999,213.159
0.27364,376.775
0.27728,414.860
0.28093,258.386
0.28458,84.076
0.28823,342.545
0.29188,0.000
0.29553,313.290
0.29917,453.399
0.30282,308.002
0.30647,281.828
0.31012,316.713
0.31377,271.837
0.31742,57.200
0.32107,312.209
0.32471,746.309
0.32836,173.766
0.33201,217.205
0.33566,496.848
0.33931,664.731
0.34296,700.017
0.34660,711.050
0.35025,592.560
0.35390,705.750
0.35755,448.508
0.36120,536.148
0.36485,286.000
0.36850,286.000
0.37214,387.559
0.37579,1005.342
0.37944,573.284
0.38309,643.641
0.38674,345.516
0.39039,360.075
0.39403,580.348
0.39768,198.058
0.40133,59.924
0.40498,568.018
0.40863,666.559
0.41228,1060.275
0.41593,481.150
0.41957,372.007
0.42322,2.085E-9
0.42687,552.538
0.43052,480.928
0.43417,761.181
0.43782,1205.537
0.44147,636.327
0.44511,980.285
0.44876,838.203
0.45241,1732.409
0.45606,549.339
0.45971,890.966
0.46336,970.455
0.46700,1310.759
0.47065,1424.878
0.47430,987.318
0.47795,499.766
0.48160,333.503
0.48525,572.249
0.48890,446.119
0.49254,733.734
0.49619,1060.195
0.49984,735.021
0.50349,407.447
0.50714,760.121
0.51079,1027.690
0.51443,774.766
0.51808,922.783
0.52173,606.717
0.52538,517.306
0.52903,573.000
0.53268,441.100
0.53633,215.561
0.53997,170.321
0.54362,816.904
0.54727,987.118
0.55092,860.249
0.55457,821.655
0.55822,311.185
0.56186,468.984
0.56551,337.857
0.56916,910.515
0.57281,616.981
0.57646,207.002
0.58011,441.885
0.58376,481.065
0.58740,942.920
0.59105,600.662
0.59470,160.143
0.59835,545.153
0.60200,556.620
0.60565,465.454
0.60929,1085.616
0.61294,61.949
0.61659,276.187
0.62024,527.612
0.62389,519.875
0.62754,423.596
0.63119,346.608
0.63483,286.000
0.63848,286.000
0.64213,233.765
0.64578,106.542
0.64943,454.419
0.65308,27.662
0.65672,493.966
0.66037,725.965
0.66402,435.654
0.66767,324.994
0.67132,388.994
0.67497,324.545
0.67862,660.567
0.68226,369.336
0.68591,244.579
0.68956,0.000
0.69321,0.000
0.69686,744.573
0.70051,482.361
0.70415,216.915
0.70780,31.015
0.71145,147.931
0.71510,159.425
0.71875,97.941
0.72240,66.110
0.72605,217.205
0.72969,133.533
0.73334,0.000
0.73699,254.441
0.74064,286.000
0.74429,251.721
0.74794,286.000
0.75159,166.612
0.75523,0.000
0.75888,12.787
0.76253,77.672
0.76618,49.056
0.76983,40.049
0.77348,362.654
0.77712,246.552
0.78077,128.207
0.78442,2.721
0.78807,137.902
0.79172,206.852
0.79537,103.246
0.79902,188.065
0.80266,2.721
0.80631,104.334
0.80996,47.693
0.81361,490.422
0.81726,31.040
0.82091,212.205
0.82455,138.069
0.82820,352.781
0.83185,270.374
0.83550,138.409
0.83915,236.690
0.84280,84.066
0.84645,0.000
0.85009,136.845
0.85374,280.083
0.85739,14.963
0.86104,157.657
0.86469,271.173
0.86834,49.990
0.87198,16.936
0.87563,0.000
0.87928,0.000
0.88293,11.971
0.88658,157.793
0.89023,243.083
0.89388,3.741
0.89752,214.313
0.90117,328.210
0.90482,108.832
0.90847,0.000
0.91212,0.000
0.91577,19.588
0.91941,84.270
0.92306,151.332
0.92671,256.414
0.93036,119.025
0.93401,13.807
0.93766,278.246
0.94131,286.000
0.94495,286.000
0.94860,204.383
0.95225,114.400
0.95590,0.000
0.95955,0.000
0.96320,22.853
0.96684,165.955
0.97049,16.732
0.97414,26.966
0.97779,306.981
0.98144,101.477
0.98509,536.761
0.98874,247.607
0.99238,60.941
0.99603,10.356
0.99968,124.262
1.00333,187.379
1.00698,74.324
1.01063,355.655
1.01428,511.271
1.01792,4.361
1.02157,221.046
1.02522,55.228
1.02887,63.661
1.03252,0.000
1.03617,0.000
1.03981,17.715
1.04346,162.095
1.04711,158.609
1.05076,0.000
1.05441,30.115
1.05806,573.000
