Distance_(microns),Gray_Value
0.000000,107.000
0.004250,3.630
0.008500,38.114
0.012751,1.435
0.017001,4.389
0.021251,80.973
0.025501,58.952
0.029752,0.000
0.034002,0.000
0.038252,0.000
0.042502,4.207
0.046752,33.340
0.051003,22.960
0.055253,0.000
0.059503,0.000
0.063753,13.287
0.068003,16.773
0.072254,0.000
0.076504,0.000
0.080754,6.084
0.085004,101.216
0.089255,68.827
0.093505,68.164
0.097755,106.519
0.102005,13.181
0.106255,0.000
0.110506,68.455
0.114756,27.743
0.119006,0.000
0.123256,146.756
0.127507,139.092
0.131757,0.000
0.136007,64.812
0.140257,127.557
0.144507,77.681
0.148758,75.189
0.153008,26.605
0.157258,107.000
0.161508,107.000
0.165758,102.406
0.170009,16.726
0.174259,106.422
0.178509,4.627
0.182759,97.168
0.187010,77.672
0.191260,40.486
0.195510,151.981
0.199760,47.168
0.204010,104.283
0.208261,58.930
0.212511,64.970
0.216761,28.938
0.221011,50.319
0.225262,145.132
0.229512,87.353
0.233762,112.129
0.238012,398.202
0.242262,100.829
0.246513,38.967
0.250763,27.632
0.255013,224.818
0.259263,384.816
0.263513,133.247
0.267764,127.540
0.272014,144.090
0.276264,129.654
0.280514,357.426
0.284765,204.101
0.289015,156.592
0.293265,285.952
0.297515,338.835
0.301765,406.882
0.306016,267.925
0.310266,143.568
0.314516,337.040
0.318766,196.054
0.323017,34.692
0.327267,229.879
0.331517,301.974
0.335767,373.018
0.340017,259.162
0.344268,503.881
0.348518,915.164
0.352768,288.829
0.357018,924.907
0.361268,810.991
0.365519,410.411
0.369769,221.278
0.374019,366.588
0.378269,368.015
0.382520,281.460
0.386770,461.929
0.391020,500.784
0.395270,496.042
0.399520,695.414
0.403771,548.371
0.408021,316.499
0.412271,476.209
0.416521,803.548
0.420772,617.401
0.425022,805.259
0.429272,494.967
0.433522,1078.786
0.437772,731.295
0.442023,639.010
0.446273,944.276
0.450523,652.535
0.454773,542.519
0.459023,569.416
0.463274,639.825
0.467524,753.359
0.471774,810.200
0.476024,983.673
0.480275,776.361
0.484525,511.329
0.488775,733.733
0.493025,929.635
0.497275,772.116
0.501526,266.160
0.505776,621.207
0.510026,872.524
0.514276,561.200
0.518526,128.753
0.522777,396.513
0.527027,649.658
0.531277,635.725
0.535527,311.417
0.539778,676.589
0.544028,497.870
0.548278,327.539
0.552528,420.985
0.556778,456.992
0.561029,399.322
0.565279,240.762
0.569529,398.160
0.573779,447.145
0.578030,452.625
0.582280,401.788
0.586530,382.330
0.590780,358.728
0.595030,394.529
0.599281,335.592
0.603531,518.546
0.607781,385.779
0.612031,88.997
0.616282,213.673
0.620532,120.025
0.624782,198.360
0.629032,204.600
0.633282,196.564
0.637533,98.332
0.641783,122.162
0.646033,171.173
0.650283,235.394
0.654533,113.708
0.658784,4.690
0.663034,51.526
0.667284,76.231
0.671534,120.929
0.675785,24.664
0.680035,83.742
0.684285,130.371
0.688535,101.858
0.692785,41.396
0.697036,106.329
0.701286,14.094
0.705536,4.008
0.709786,0.000
0.714037,0.000
0.718287,20.455
0.722537,55.493
0.726787,153.186
0.731037,140.884
0.735288,146.136
0.739538,65.988
0.743788,1.407
0.748038,0.000
0.752288,34.951
0.756539,21.037
0.760789,39.417
0.765039,94.792
0.769289,85.457
0.773540,9.832
0.777790,42.222
0.782040,79.323
0.786290,107.000
