Distance_(microns),Gray_Value
0.00000,213.000
0.00425,107.928
0.00850,107.000
0.01275,96.656
0.01700,450.369
0.02125,148.094
0.02550,136.244
0.02975,397.509
0.03400,158.604
0.03825,138.089
0.04250,246.836
0.04675,257.319
0.05100,174.563
0.05525,207.834
0.05950,66.125
0.06375,38.161
0.06800,94.322
0.07225,153.749
0.07650,88.811
0.08075,29.410
0.08500,158.870
0.08925,216.696
0.09350,92.397
0.09775,165.853
0.10201,184.489
0.10626,132.470
0.11051,52.959
0.11476,4.735
0.11901,53.335
0.12326,264.343
0.12751,219.978
0.13176,133.864
0.13601,87.147
0.14026,46.158
0.14451,33.287
0.14876,81.911
0.15301,27.918
0.15726,114.075
0.16151,117.052
0.16576,27.079
0.17001,317.357
0.17426,342.688
0.17851,140.761
0.18276,138.949
0.18701,144.894
0.19126,265.555
0.19551,282.981
0.19976,155.436
0.20401,190.350
0.20826,188.100
0.21251,180.339
0.21676,131.498
0.22101,236.342
0.22526,491.564
0.22951,294.862
0.23376,154.186
0.23801,241.016
0.24226,262.545
0.24651,255.095
0.25076,219.801
0.25501,266.364
0.25926,156.501
0.26351,219.360
0.26776,140.602
0.27201,257.401
0.27626,282.037
0.28051,214.075
0.28476,180.700
0.28901,52.973
0.29326,278.109
0.29752,249.291
0.30177,271.035
0.30602,433.980
0.31027,107.444
0.31452,123.638
0.31877,172.779
0.32302,214.715
0.32727,294.883
0.33152,244.683
0.33577,510.805
0.34002,426.380
0.34427,49.192
0.34852,172.790
0.35277,414.913
0.35702,390.066
0.36127,284.634
0.36552,121.088
0.36977,561.566
0.37402,224.898
0.37827,169.979
0.38252,617.879
0.38677,822.403
0.39102,521.515
0.39527,339.823
0.39952,472.998
0.40377,698.707
0.40802,522.928
0.41227,468.503
0.41652,662.627
0.42077,615.747
0.42502,461.443
0.42927,740.380
0.43352,793.667
0.43777,943.688
0.44202,642.055
0.44627,988.847
0.45052,637.371
0.45477,745.450
0.45902,884.500
0.46327,1090.917
0.46752,1345.920
0.47177,1271.245
0.47602,1123.325
0.48027,1166.470
0.48452,1193.792
0.48877,1190.392
0.49303,939.403
0.49728,1023.943
0.50153,1333.871
0.50578,1621.443
0.51003,1775.594
0.51428,1316.262
0.51853,914.078
0.52278,1340.309
0.52703,1662.546
0.53128,1443.512
0.53553,1632.836
0.53978,1589.690
0.54403,1270.820
0.54828,976.120
0.55253,994.161
0.55678,1144.826
0.56103,1752.845
0.56528,1322.710
0.56953,1127.788
0.57378,1382.520
0.57803,1603.616
0.58228,1452.588
0.58653,1662.929
0.59078,1211.827
0.59503,1805.644
0.59928,1333.282
0.60353,1532.607
0.60778,1256.204
0.61203,1429.984
0.61628,1137.705
0.62053,1298.822
0.62478,983.311
0.62903,1271.125
0.63328,1223.917
0.63753,1438.962
0.64178,895.126
0.64603,1544.237
0.65028,1568.077
0.65453,1170.613
0.65878,1251.481
0.66303,1722.731
0.66728,824.977
0.67153,887.055
0.67578,331.631
0.68003,531.486
0.68428,1081.883
0.68854,716.541
0.69279,704.986
0.69704,978.088
0.70129,1001.627
0.70554,481.588
0.70979,950.434
0.71404,614.283
0.71829,414.625
0.72254,725.486
0.72679,640.155
0.73104,714.412
0.73529,811.992
0.73954,923.894
0.74379,904.972
0.74804,656.335
0.75229,802.845
0.75654,487.120
0.76079,725.716
0.76504,335.312
0.76929,328.487
0.77354,332.611
0.77779,417.881
0.78204,390.029
0.78629,237.330
0.79054,565.871
0.79479,508.533
0.79904,290.655
0.80329,385.336
0.80754,417.478
0.81179,407.176
0.81604,274.293
0.82029,335.479
0.82454,478.489
0.82879,316.624
0.83304,302.990
0.83729,391.177
0.84154,277.887
0.84579,323.565
0.85004,558.644
0.85429,411.115
0.85854,409.497
0.86279,531.597
0.86704,475.389
0.87129,438.447
0.87554,485.426
0.87980,313.750
0.88405,274.051
0.88830,377.398
0.89255,205.865
0.89680,268.703
0.90105,367.186
0.90530,514.604
0.90955,235.955
0.91380,87.174
0.91805,130.815
0.92230,289.113
0.92655,246.894
0.93080,185.727
0.93505,136.412
0.93930,213.591
0.94355,393.695
0.94780,235.503
0.95205,159.021
0.95630,296.828
0.96055,260.325
0.96480,58.114
0.96905,329.146
0.97330,167.465
0.97755,202.557
0.98180,331.192
0.98605,227.199
0.99030,338.179
0.99455,283.518
0.99880,160.950
1.00305,360.314
1.00730,139.182
1.01155,182.864
1.01580,320.000
