Distance_(microns),Gray_Value
0.00000,0.000
0.00365,0.000
0.00730,143.007
0.01095,55.981
0.01459,211.468
0.01824,38.100
0.02189,101.203
0.02554,91.612
0.02919,148.012
0.03284,9.194
0.03648,39.147
0.04013,35.278
0.04378,11.994
0.04743,35.189
0.05108,0.000
0.05473,6.835
0.05838,0.000
0.06202,114.652
0.06567,18.388
0.06932,0.000
0.07297,0.000
0.07662,0.000
0.08027,0.000
0.08391,0.000
0.08756,0.000
0.09121,82.109
0.09486,92.163
0.09851,0.000
0.10216,0.000
0.10581,0.000
0.10945,0.000
0.11310,151.705
0.11675,339.327
0.12040,20.858
0.12405,60.193
0.12770,6.593
0.13134,164.813
0.13499,67.424
0.13864,0.000
0.14229,31.144
0.14594,111.092
0.14959,19.689
0.15324,188.306
0.15688,358.725
0.16053,46.515
0.16418,223.506
0.16783,137.517
0.17148,0.000
0.17513,0.000
0.17878,60.854
0.18242,193.079
0.18607,43.855
0.18972,88.878
0.19337,78.768
0.19702,221.423
0.20067,248.123
0.20431,179.144
0.20796,20.527
0.21161,51.538
0.21526,9.183
0.21891,16.371
0.22256,0.000
0.22621,79.772
0.22985,75.880
0.23350,197.301
0.23715,76.464
0.24080,0.000
0.24445,73.554
0.24810,211.468
0.25174,26.370
0.25539,97.433
0.25904,27.208
0.26269,185.417
0.26634,55.507
0.26999,0.000
0.27364,160.899
0.27728,388.088
0.28093,165.496
0.28458,0.000
0.28823,16.371
0.29188,9.183
0.29553,103.077
0.29917,113.286
0.30282,20.064
0.30647,92.064
0.31012,22.225
0.31377,0.000
0.31742,11.609
0.32107,135.433
0.32471,8.169
0.32836,80.124
0.33201,0.000
0.33566,0.000
0.33931,209.197
0.34296,30.758
0.34660,16.856
0.35025,196.067
0.35390,244.293
0.35755,452.866
0.36120,325.673
0.36485,503.330
0.36850,144.505
0.37214,287.359
0.37579,215.381
0.37944,357.506
0.38309,246.282
0.38674,189.717
0.39039,207.366
0.39403,164.080
0.39768,226.670
0.40133,342.022
0.40498,534.191
0.40863,420.444
0.41228,678.624
0.41593,707.225
0.41957,402.540
0.42322,391.472
0.42687,455.422
0.43052,449.920
0.43417,628.909
0.43782,176.854
0.44147,135.231
0.44511,398.698
0.44876,879.342
0.45241,790.157
0.45606,659.539
0.45971,491.019
0.46336,441.115
0.46700,286.753
0.47065,643.142
0.47430,383.360
0.47795,850.481
0.48160,527.374
0.48525,640.977
0.48890,722.958
0.49254,642.073
0.49619,958.730
0.49984,921.957
0.50349,763.965
0.50714,1493.000
0.51079,573.278
0.51443,563.041
0.51808,960.170
0.52173,778.002
0.52538,847.060
0.52903,540.098
0.53268,1252.792
0.53633,864.728
0.53997,839.475
0.54362,740.530
0.54727,978.656
0.55092,471.520
0.55457,985.005
0.55822,1074.257
0.56186,1043.825
0.56551,936.729
0.56916,737.064
0.57281,485.126
0.57646,584.059
0.58011,677.036
0.58376,983.252
0.58740,826.950
0.59105,636.759
0.59470,655.286
0.59835,988.327
0.60200,1238.744
0.60565,1211.270
0.60929,1225.365
0.61294,542.520
0.61659,684.127
0.62024,934.238
0.62389,722.263
0.62754,727.534
0.63119,578.631
0.63483,538.904
0.63848,330.028
0.64213,609.036
0.64578,645.975
0.64943,568.681
0.65308,759.833
0.65672,1361.633
0.66037,466.512
0.66402,238.835
0.66767,332.118
0.67132,831.806
0.67497,563.840
0.67862,511.422
0.68226,363.736
0.68591,498.125
0.68956,327.487
0.69321,298.852
0.69686,253.261
0.70051,295.800
0.70415,670.493
0.70780,548.300
0.71145,542.448
0.71510,413.088
0.71875,393.258
0.72240,211.457
0.72605,77.666
0.72969,199.385
0.73334,21.740
0.73699,128.323
0.74064,92.317
0.74429,342.028
0.74794,190.356
0.75159,268.496
0.75523,422.935
0.75888,141.938
0.76253,195.251
0.76618,398.605
0.76983,204.467
0.77348,81.216
0.77712,0.000
0.78077,120.683
0.78442,75.880
0.78807,210.023
0.79172,221.742
0.79537,54.680
0.79902,29.104
0.80266,0.000
0.80631,201.637
0.80996,37.265
0.81361,19.215
0.81726,94.247
0.82091,78.768
0.82455,112.095
0.82820,279.113
0.83185,16.338
0.83550,0.000
0.83915,89.605
0.84280,62.882
0.84645,55.364
0.85009,110.551
0.85374,47.978
0.85739,134.772
0.86104,96.892
0.86469,183.885
0.86834,109.184
0.87198,142.015
0.87563,13.891
0.87928,32.985
0.88293,45.806
0.88658,61.901
0.89023,60.193
0.89388,23.283
0.89752,12.259
0.90117,171.626
0.90482,182.353
0.90847,93.232
0.91212,107.685
0.91577,22.026
0.91941,76.398
0.92306,62.827
0.92671,180.346
0.93036,9.911
0.93401,157.967
0.93766,191.547
0.94131,60.435
0.94495,192.263
0.94860,0.000
0.95225,0.000
0.95590,88.448
0.95955,44.086
0.96320,82.087
0.96684,154.770
0.97049,4.862
0.97414,281.924
0.97779,195.306
0.98144,11.642
0.98509,296.024
0.98874,142.180
0.99238,206.870
0.99603,48.827
0.99968,2.073
1.00333,317.918
1.00698,68.461
1.01063,89.385
1.01428,6.587E-9
