Distance_(microns),Gray_Value
0.000,342
0.379,191
0.757,124
1.136,834
1.514,1454
1.893,574
2.272,1108
2.650,745
3.029,237
3.407,153
3.786,393
4.165,327
4.543,541
4.922,221
5.300,530
5.679,114
6.058,636
6.436,520
6.815,827
7.193,486
7.572,260
7.951,545
8.329,975
8.708,616
9.086,726
9.465,282
9.844,44
10.222,598
10.601,43
10.979,44
11.358,260
11.737,315
12.115,108
12.494,57
12.872,208
13.251,277
13.630,46
14.008,44
14.387,274
14.766,61
15.144,839
15.523,207
15.901,287
16.280,1596
16.659,1213
17.037,1015
17.416,1074
17.794,2335
18.173,357
18.552,754
18.930,1955
19.309,2050
19.687,1460
20.066,2302
20.445,2397
20.823,2396
21.202,1914
21.580,2493
21.959,1120
22.338,3075
22.716,2437
23.095,3567
23.473,3130
23.852,1585
24.231,1073
24.609,1661
24.988,643
25.366,607
25.745,820
26.124,1501
26.502,1365
26.881,1914
27.259,997
27.638,2883
28.017,2766
28.395,1859
28.774,2586
29.152,944
29.531,1005
29.910,1219
30.288,1211
30.667,677
31.045,1065
31.424,874
31.803,348
32.181,466
32.560,666
32.938,1044
33.317,579
33.696,729
34.074,1603
34.453,727
34.831,1482
35.210,1884
35.589,2295
35.967,973
36.346,2527
36.724,3655
37.103,824
37.482,1081
37.860,1291
38.239,1341
38.617,2008
38.996,2993
39.375,1241
39.753,3025
40.132,1429
40.511,1763
40.889,1896
41.268,2618
41.646,1616
42.025,1606
42.404,1826
42.782,3382
43.161,2402
43.539,1830
43.918,2614
44.297,1347
44.675,3417
45.054,1699
45.432,2549
45.811,1928
46.190,1704
46.568,2583
46.947,2294
47.325,2522
47.704,1440
48.083,2171
48.461,332
48.840,181
49.218,1158
49.597,911
49.976,959
50.354,1079
50.733,1932
51.111,1805
51.490,2708
51.869,2049
52.247,2000
52.626,1896
53.004,2071
53.383,1853
53.762,2183
54.140,667
54.519,2000
54.897,2281
55.276,1133
55.655,1097
56.033,2375
56.412,1640
56.790,3459
57.169,1860
57.548,890
57.926,1755
58.305,1077
58.683,1732
59.062,2295
59.441,2759
59.819,2270
60.198,3159
60.576,3310
60.955,2961
61.334,3552
61.712,3337
62.091,2551
62.469,2204
62.848,3223
63.227,4095
63.605,4095
63.984,2854
64.362,2742
64.741,2976
65.120,3102
65.498,4095
65.877,2824
66.255,2412
66.634,2712
67.013,2575
67.391,2277
67.770,3941
68.149,2364
68.527,2244
68.906,1891
69.284,2316
69.663,1933
70.042,3301
70.420,2635
70.799,2063
71.177,2357
71.556,2625
71.935,3058
72.313,2425
72.692,1401
73.070,2522
73.449,1770
73.828,1938
74.206,2490
74.585,2785
74.963,2253
75.342,2143
75.721,2237
76.099,1898
76.478,1348
76.856,1021
77.235,2183
77.614,1218
77.992,1549
78.371,2488
78.749,1173
79.128,521
79.507,1913
79.885,2296
80.264,2077
80.642,2201
81.021,2272
81.400,2056
81.778,4050
82.157,1030
82.535,1477
82.914,2917
83.293,3348
83.671,4095
84.050,3462
84.428,3240
84.807,3086
85.186,2797
85.564,2479
85.943,3041
86.321,3588
86.700,4095
87.079,4095
87.457,3117
87.836,2130
88.214,2775
88.593,1052
88.972,773
89.350,1810
89.729,463
90.107,40
90.486,1469
90.865,313
91.243,714
91.622,658
92.000,253
92.379,1083
92.758,756
93.136,135
93.515,967
93.894,1153
94.272,337
94.651,102
95.029,391
95.408,574
95.787,514
96.165,1606
96.544,438
96.922,1140
97.301,387
97.680,737
98.058,606
98.437,597
98.815,338
99.194,174
99.573,142
99.951,453
100.330,47
100.708,42
101.087,241
101.466,146
101.844,52
102.223,43
102.601,193
102.980,546
103.359,59
103.737,132
104.116,251
104.494,798
104.873,471
105.252,745
105.630,357
106.009,479
106.387,557
106.766,689
107.145,288
107.523,217
