Distance_(microns),Gray_Value
0.000000,0.000
0.003648,0.000
0.007297,202.176
0.010945,431.303
0.014594,71.480
0.018242,41.142
0.021891,70.186
0.025539,286.000
0.029188,250.511
0.032836,20.571
0.036485,14.263
0.040133,0.000
0.043782,0.000
0.047430,0.000
0.051079,44.860
0.054727,247.113
0.058376,217.109
0.062024,99.881
0.065672,41.752
0.069321,171.182
0.072969,66.117
0.076618,243.517
0.080266,124.311
0.083915,0.000
0.087563,14.766
0.091212,51.565
0.094860,100.402
0.098509,273.474
0.102157,18.788
0.105806,29.272
0.109454,164.920
0.113103,109.439
0.116751,0.000
0.120400,207.109
0.124048,284.569
0.127696,199.769
0.131345,11.825
0.134993,69.332
0.138642,0.000
0.142290,0.000
0.145939,18.133
0.149587,77.591
0.153236,0.838
0.156884,221.884
0.160533,254.362
0.164181,13.257
0.167830,50.285
0.171478,0.000
0.175127,367.345
0.178775,172.489
0.182424,244.990
0.186072,417.172
0.189721,227.208
0.193369,456.709
0.197017,243.048
0.200666,41.802
0.204314,575.960
0.207963,314.258
0.211611,355.196
0.215260,187.107
0.218908,261.040
0.222557,249.795
0.226205,279.930
0.229854,550.006
0.233502,554.182
0.237151,249.636
0.240799,170.871
0.244448,0.000
0.248096,158.657
0.251745,180.487
0.255393,323.555
0.259041,246.852
0.262690,502.190
0.266338,826.671
0.269987,433.335
0.273635,64.088
0.277284,0.000
0.280932,24.960
0.284581,501.264
0.288229,424.095
0.291878,14.080
0.295526,213.711
0.299175,249.795
0.302823,157.636
0.306472,283.473
0.310120,139.366
0.313769,417.172
0.317417,295.503
0.321065,322.293
0.324714,460.747
0.328362,464.907
0.332011,284.095
0.335659,117.637
0.339308,4.571
0.342956,93.119
0.346605,170.771
0.350253,314.382
0.353902,54.526
0.357550,100.204
0.361199,210.894
0.364847,142.641
0.368496,214.362
0.372144,324.350
0.375793,382.018
0.379441,889.688
0.383089,572.071
0.386738,618.539
0.390386,425.362
0.394035,117.196
0.397683,560.339
0.401332,512.906
0.404980,489.802
0.408629,586.230
0.412277,342.658
0.415926,832.696
0.419574,615.647
0.423223,429.079
0.426871,401.250
0.430520,910.292
0.434168,72.774
0.437817,334.279
0.441465,667.668
0.445114,342.044
0.448762,583.410
0.452410,1186.394
0.456059,1097.046
0.459707,1420.453
0.463356,1118.251
0.467004,839.968
0.470653,892.975
0.474301,778.505
0.477950,966.370
0.481598,662.350
0.485247,394.934
0.488895,533.595
0.492544,370.117
0.496192,590.203
0.499841,860.000
0.503489,436.068
0.507138,567.036
0.510786,573.000
0.514434,764.813
0.518083,510.649
0.521731,463.368
0.525380,554.146
0.529028,455.487
0.532677,310.833
0.536325,560.079
0.539974,1242.250
0.543622,607.214
0.547271,781.912
0.550919,813.513
0.554568,617.942
0.558216,530.126
0.561865,780.979
0.565513,588.511
0.569162,942.555
0.572810,681.225
0.576458,788.992
0.580107,882.107
0.583755,794.467
0.587404,269.169
0.591052,230.209
0.594701,523.519
0.598349,732.737
0.601998,926.042
0.605646,874.511
0.609295,284.318
0.612943,1196.560
0.616592,947.035
0.620240,876.551
0.623889,1086.719
0.627537,523.572
0.631186,202.496
0.634834,73.066
0.638482,47.314
0.642131,123.320
0.645779,247.195
0.649428,441.725
0.653076,287.254
0.656725,324.534
0.660373,604.821
0.664022,610.647
0.667670,239.538
0.671319,407.115
0.674967,605.647
0.678616,622.948
0.682264,358.350
0.685913,176.561
0.689561,187.737
0.693210,63.081
0.696858,286.000
0.700507,286.000
0.704155,535.292
0.707803,444.187
0.711452,426.174
0.715100,263.641
0.718749,43.839
0.722397,153.827
0.726046,3.535
0.729694,146.131
0.733343,275.562
0.736991,138.497
0.740640,306.673
0.744288,218.268
0.747937,443.343
0.751585,536.974
0.755234,445.794
0.758882,192.211
0.762531,52.974
0.766179,548.134
0.769827,155.494
0.773476,57.005
0.777124,230.351
0.780773,123.168
0.784421,217.247
0.788070,325.970
0.791718,0.000
0.795367,0.000
0.799015,0.000
0.802664,0.000
0.806312,227.106
0.809961,46.719
0.813609,307.733
0.817258,359.693
0.820906,168.124
0.824555,153.872
0.828203,0.000
0.831851,0.000
0.835500,0.000
0.839148,9.159
0.842797,202.496
0.846445,114.818
0.850094,0.000
0.853742,0.000
0.857391,127.595
0.861039,287.552
0.864688,0.000
0.868336,0.000
0.871985,0.000
0.875633,79.953
0.879282,14.562
0.882930,0.000
0.886579,0.000
0.890227,0.000
0.893875,43.885
0.897524,192.058
0.901172,62.628
0.904821,87.354
0.908469,51.565
0.912118,0.000
0.915766,0.000
0.919415,0.000
0.923063,0.000
0.926712,0.000
0.930360,211.566
0.934009,14.288
0.937657,75.519
0.941306,53.881
0.944954,144.821
0.948603,96.029
0.952251,0.000
0.955899,0.000
0.959548,2.564
0.963196,246.064
0.966845,7.754
0.970493,250.511
0.974142,66.803
0.977790,162.329
0.981439,149.438
0.985087,184.516
0.988736,183.708
0.992384,208.119
0.996033,156.569
0.999681,286.000
