Distance_(microns),Gray_Value
0.000000,287.000
0.004250,468.243
0.008500,420.825
0.012751,285.743
0.017001,275.315
0.021251,497.426
0.025501,711.838
0.029752,462.558
0.034002,422.167
0.038252,495.435
0.042502,202.619
0.046752,270.137
0.051003,337.824
0.055253,527.786
0.059503,747.776
0.063753,286.067
0.068003,259.076
0.072254,351.004
0.076504,28.182
0.080754,360.736
0.085004,371.982
0.089255,300.506
0.093505,329.311
0.097755,416.018
0.102005,402.844
0.106255,206.802
0.110506,62.254
0.114756,114.520
0.119006,358.546
0.123256,173.945
0.127507,167.382
0.131757,348.206
0.136007,476.561
0.140257,355.544
0.144507,155.195
0.148758,486.655
0.153008,194.936
0.157258,338.530
0.161508,98.394
0.165758,131.560
0.170009,466.355
0.174259,465.841
0.178509,148.800
0.182759,74.996
0.187010,150.419
0.191260,269.280
0.195510,305.699
0.199760,376.253
0.204010,245.780
0.208261,384.725
0.212511,315.247
0.216761,239.479
0.221011,126.163
0.225262,14.858
0.229512,68.851
0.233762,165.347
0.238012,481.180
0.242262,262.959
0.246513,156.243
0.250763,171.392
0.255013,268.738
0.259263,259.625
0.263513,337.898
0.267764,349.640
0.272014,316.347
0.276264,458.251
0.280514,138.912
0.284765,168.322
0.289015,262.430
0.293265,90.202
0.297515,409.631
0.301765,565.356
0.306016,259.608
0.310266,219.924
0.314516,182.789
0.318766,191.222
0.323017,269.903
0.327267,429.295
0.331517,333.667
0.335767,200.877
0.340017,62.377
0.344268,167.498
0.348518,48.910
0.352768,150.079
0.357018,123.822
0.361268,234.950
0.365519,288.591
0.369769,202.493
0.374019,306.091
0.378269,295.847
0.382520,367.000
0.386770,340.845
0.391020,294.103
0.395270,271.767
0.399520,362.437
0.403771,486.872
0.408021,447.161
0.412271,368.188
0.416521,329.668
0.420772,469.422
0.425022,633.321
0.429272,653.183
0.433522,379.003
0.437772,536.459
0.442023,289.050
0.446273,598.858
0.450523,535.462
0.454773,508.138
0.459023,314.434
0.463274,351.346
0.467524,578.276
0.471774,447.598
0.476024,392.986
0.480275,747.360
0.484525,768.996
0.488775,600.520
0.493025,400.211
0.497275,547.770
0.501526,545.778
0.505776,966.158
0.510026,295.400
0.514276,325.627
0.518526,480.029
0.522777,516.570
0.527027,796.280
0.531277,969.235
0.535527,850.234
0.539778,1000.927
0.544028,666.865
0.548278,702.234
0.552528,1166.903
0.556778,1217.308
0.561029,795.359
0.565279,503.108
0.569529,959.309
0.573779,980.440
0.578030,891.468
0.582280,1423.815
0.586530,1546.847
0.590780,748.681
0.595030,588.511
0.599281,668.742
0.603531,472.438
0.607781,731.643
0.612031,788.475
0.616282,542.391
0.620532,897.275
0.624782,809.503
0.629032,241.815
0.633282,289.661
0.637533,796.333
0.641783,639.012
0.646033,612.790
0.650283,901.568
0.654533,974.546
0.658784,860.818
0.663034,622.466
0.667284,576.816
0.671534,914.422
0.675785,892.703
0.680035,798.095
0.684285,714.070
0.688535,395.598
0.692785,546.793
0.697036,625.527
0.701286,479.356
0.705536,342.950
0.709786,433.546
0.714037,342.320
0.718287,464.362
0.722537,478.698
0.726787,708.523
0.731037,160.858
0.735288,429.723
0.739538,325.311
0.743788,285.123
0.748038,339.816
0.752288,533.623
0.756539,562.876
0.760789,478.938
0.765039,326.920
0.769289,487.969
0.773540,439.595
0.777790,263.722
0.782040,287.614
0.786290,334.330
0.790540,251.308
0.794791,70.247
0.799041,234.041
0.803291,422.586
0.807541,664.844
0.811792,426.332
0.816042,614.104
0.820292,276.298
0.824542,234.540
0.828792,400.498
0.833043,621.461
0.837293,309.179
0.841543,230.683
0.845793,224.108
0.850043,99.111
0.854294,268.860
0.858544,544.450
0.862794,494.521
0.867044,468.756
0.871295,237.198
0.875545,232.099
0.879795,296.104
0.884045,495.235
0.888295,452.780
0.892546,197.782
0.896796,152.987
0.901046,343.956
0.905296,278.436
0.909546,316.193
0.913797,452.085
0.918047,358.344
0.922297,261.977
0.926547,62.292
0.930798,291.505
0.935048,577.153
0.939298,375.356
0.943548,194.334
0.947798,367.043
0.952049,205.412
0.956299,430.000
