Distance_(microns)	Gray_Value
1.28426	68.608
1.28791	68.558
1.29156	123.356
1.29521	2.659
1.29886	71.862
1.30250	34.561
1.30615	136.577
1.30980	76.078
1.31345	14.287
1.31710	363.427
1.32075	169.828
1.32440	62.849
1.32804	180.230
1.33169	270.638
1.33534	208.595
1.33899	8.172
1.34264	116.768
1.34629	7.751
1.34993	242.720
1.35358	79.213
1.35723	207.492
1.36088	240.625
1.36453	150.292
1.36818	178.531
1.37183	366.507
1.37547	61.877
1.37912	808.299
1.38277	344.376
1.38642	127.875
1.39007	122.208
1.39372	268.674
1.39736	62.521
1.40101	317.925
1.40466	240.498
1.40831	77.921
1.41196	170.624
1.41561	249.229
1.41926	685.696
1.42290	210.755
1.42655	397.429
1.43020	193.950
1.43385	273.485
1.43750	293.589
1.44115	288.995
1.44479	732.159
1.44844	351.603
1.45209	142.576
1.45574	188.733
1.45939	593.297
1.46304	42.403
1.46669	232.534
1.47033	286.338
1.47398	373.763
1.47763	966.954
1.48128	627.426
1.48493	643.574
1.48858	665.156
1.49222	548.882
1.49587	153.529
1.49952	256.473
1.50317	733.869
1.50682	189.907
1.51047	553.836
1.51412	573.000
1.51776	750.483
1.52141	400.837
1.52506	420.866
1.52871	324.023
1.53236	488.433
1.53601	558.601
1.53965	571.614
1.54330	452.853
1.54695	1777.210
1.55060	1745.255
1.55425	753.786
1.55790	498.895
1.56155	963.347
1.56519	823.487
1.56884	573.000
1.57249	573.000
1.57614	1073.222
1.57979	1063.404
1.58344	184.527
1.58709	133.989
1.59073	987.754
1.59438	928.981
1.59803	753.355
1.60168	653.945
1.60533	838.061
1.60898	352.728
1.61262	1497.751
1.61627	1169.768
1.61992	939.653
1.62357	1430.407
1.62722	993.439
1.63087	299.937
1.63452	965.068
1.63816	1000.415
1.64181	899.205
1.64546	396.283
1.64911	913.205
1.65276	319.512
1.65641	945.666
1.66005	889.499
1.66370	1082.608
1.66735	1221.250
1.67100	945.365
1.67465	605.651
1.67830	1654.420
1.68195	821.316
1.68559	861.539
1.68924	508.203
1.69289	717.933
1.69654	1247.993
1.70019	1056.467
1.70384	1233.598
1.70748	926.490
1.71113	1262.955
1.71478	721.991
1.71843	842.116
1.72208	952.690
1.72573	1299.233
1.72938	1430.515
1.73302	793.393
1.73667	631.450
1.74032	578.592
1.74397	297.827
1.74762	812.936
1.75127	1127.849
1.75491	1045.087
1.75856	771.611
1.76221	1238.561
1.76586	1014.732
1.76951	423.609
1.77316	817.642
1.77681	744.928
1.78045	868.499
1.78410	531.235
1.78775	557.799
1.79140	499.887
1.79505	552.003
1.79870	529.567
1.80234	320.315
1.80599	636.872
1.80964	579.071
1.81329	347.436
1.81694	345.729
1.82059	109.614
1.82424	429.534
1.82788	81.846
1.83153	467.531
1.83518	473.698
1.83883	617.075
1.84248	406.776
1.84613	682.571
1.84977	522.521
1.85342	556.988
1.85707	265.132
1.86072	7.672
1.86437	808.221
1.86802	402.347
1.87167	202.548
1.87531	70.837
1.87896	17.966
1.88261	89.001
1.88626	294.236
1.88991	269.384
1.89356	185.914
1.89721	272.272
1.90085	419.526
1.90450	0.000
1.90815	88.891
1.91180	455.367
1.91545	159.458
1.91910	0.400
1.92274	111.732
1.92639	0.000
1.93004	0.000
1.93369	59.667
1.93734	280.625
1.94099	423.631
1.94464	32.402
1.94828	14.022
1.95193	0.982
1.95558	129.974
1.95923	155.581
1.96288	331.751
1.96653	155.933
1.97017	15.125
1.97382	267.458
1.97747	279.906
1.98112	60.877
1.98477	106.932
1.98842	265.964
1.99207	228.529
1.99571	445.067
1.99936	185.533
2.00301	124.726
2.00666	0.000
2.01031	99.422
2.01396	241.217
2.01760	235.929
2.02125	230.044
2.02490	109.735
2.02855	0.000
2.03220	24.095
2.03585	15.550
2.03950	0.000
2.04314	0.000
2.04679	0.000
2.05044	0.000
2.05409	7.492
2.05774	82.237
2.06139	88.133
2.06503	168.036
2.06868	167.187
2.07233	38.409
2.07598	283.703
2.07963	112.789
2.08328	177.484
2.08693	58.558
2.09057	0.000
2.09422	0.000
2.09787	0.000
2.10152	9.559
2.10517	290.881
2.10882	253.817
2.11246	278.688
2.11611	352.567
2.11976	242.456
2.12341	313.315
2.12706	13.641
2.13071	0.000
2.13436	99.790
2.13800	86.307
2.14165	1.587
2.14530	0.000
2.14895	120.656
2.15260	17.051
2.15625	44.725
2.15989	0.000
2.16354	0.000
2.16719	0.000
2.17084	0.000
2.17449	90.389
2.17814	170.553
2.18179	345.756
2.18543	491.154
2.18908	75.888
2.19273	0.000
2.19638	0.000
2.20003	51.769
2.20368	202.093
2.20733	24.856
2.21097	27.454
2.21462	56.898
2.21827	1.524
2.22192	29.192
2.22557	311.961
2.22922	75.115
2.23286	21.524
2.23651	0.000
2.24016	135.146
2.24381	0.000
2.24746	134.938
2.25111	56.094
2.25476	0.000
2.25840	0.000
2.26205	0.000
2.26570	0.000
2.26935	0.000
2.27300	0.000
2.27665	0.000
2.28029	168.642
2.28394	68.699
2.28759	93.547
2.29124	0.000
2.29489	213.015
2.29854	82.681
2.30219	101.311
2.30583	195.088
2.30948	1.697
2.31313	162.095
