TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	125/04/09
TIME	12:18:09
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
1.00000
0.00001
FIRSTX	600.0000
LASTX	400.0000
NPOINTS	201
FIRSTY	0.08242
MAXY	0.26548
MINY	0.08242
600.0000	0.08242
599.0000	0.08268
598.0000	0.08314
597.0000	0.0829
596.0000	0.08312
595.0000	0.08244
594.0000	0.08288
593.0000	0.08387
592.0000	0.08271
591.0000	0.0835
590.0000	0.0832
589.0000	0.08403
588.0000	0.08338
587.0000	0.08413
586.0000	0.08345
585.0000	0.08449
584.0000	0.08439
583.0000	0.08359
582.0000	0.08405
581.0000	0.08437
580.0000	0.08446
579.0000	0.08448
578.0000	0.08471
577.0000	0.08448
576.0000	0.08398
575.0000	0.08587
574.0000	0.08428
573.0000	0.08584
572.0000	0.08634
571.0000	0.08617
570.0000	0.08644
569.0000	0.08649
568.0000	0.08669
567.0000	0.08744
566.0000	0.08911
565.0000	0.08848
564.0000	0.08907
563.0000	0.09048
562.0000	0.09055
561.0000	0.09219
560.0000	0.09387
559.0000	0.09421
558.0000	0.09646
557.0000	0.09744
556.0000	0.09867
555.0000	0.10097
554.0000	0.10415
553.0000	0.10689
552.0000	0.11031
551.0000	0.11393
550.0000	0.11852
549.0000	0.12264
548.0000	0.12777
547.0000	0.13322
546.0000	0.13889
545.0000	0.14578
544.0000	0.15313
543.0000	0.15959
542.0000	0.16763
541.0000	0.17605
540.0000	0.18399
539.0000	0.19384
538.0000	0.2029
537.0000	0.2111
536.0000	0.22018
535.0000	0.22713
534.0000	0.23669
533.0000	0.24349
532.0000	0.24987
531.0000	0.25499
530.0000	0.2591
529.0000	0.26134
528.0000	0.26424
527.0000	0.26483
526.0000	0.26548
525.0000	0.26463
524.0000	0.26059
523.0000	0.25757
522.0000	0.25465
521.0000	0.25025
520.0000	0.2459
519.0000	0.24116
518.0000	0.23519
517.0000	0.22906
516.0000	0.22362
515.0000	0.21653
514.0000	0.21133
513.0000	0.20625
512.0000	0.20097
511.0000	0.1955
510.0000	0.19167
509.0000	0.18648
508.0000	0.18252
507.0000	0.18031
506.0000	0.17636
505.0000	0.17222
504.0000	0.17017
503.0000	0.16815
502.0000	0.16604
501.0000	0.1643
500.0000	0.16243
499.0000	0.16047
498.0000	0.15909
497.0000	0.15928
496.0000	0.15832
495.0000	0.1556
494.0000	0.15521
493.0000	0.15364
492.0000	0.15385
491.0000	0.1511
490.0000	0.14982
489.0000	0.14856
488.0000	0.14744
487.0000	0.1452
486.0000	0.14289
485.0000	0.14019
484.0000	0.13798
483.0000	0.13618
482.0000	0.13476
481.0000	0.13274
480.0000	0.13156
479.0000	0.12835
478.0000	0.12801
477.0000	0.12575
476.0000	0.12448
475.0000	0.12257
474.0000	0.12204
473.0000	0.12
472.0000	0.11904
471.0000	0.11758
470.0000	0.11656
469.0000	0.11784
468.0000	0.11557
467.0000	0.11462
466.0000	0.11361
465.0000	0.11333
464.0000	0.11378
463.0000	0.11277
462.0000	0.11182
461.0000	0.11227
460.0000	0.11285
459.0000	0.11142
458.0000	0.1113
457.0000	0.11025
456.0000	0.11147
455.0000	0.11074
454.0000	0.11091
453.0000	0.10966
452.0000	0.10955
451.0000	0.10975
450.0000	0.10905
449.0000	0.10978
448.0000	0.10845
447.0000	0.10952
446.0000	0.10952
445.0000	0.10907
444.0000	0.10825
443.0000	0.10789
442.0000	0.10922
441.0000	0.10789
440.0000	0.11015
439.0000	0.11036
438.0000	0.10951
437.0000	0.11047
436.0000	0.11078
435.0000	0.10836
434.0000	0.10836
433.0000	0.11119
432.0000	0.11051
431.0000	0.11133
430.0000	0.11123
429.0000	0.11119
428.0000	0.11188
427.0000	0.11113
426.0000	0.1128
425.0000	0.11363
424.0000	0.11308
423.0000	0.11428
422.0000	0.11464
421.0000	0.1143
420.0000	0.114
419.0000	0.11542
418.0000	0.1154
417.0000	0.11755
416.0000	0.11658
415.0000	0.11675
414.0000	0.11777
413.0000	0.11759
412.0000	0.11728
411.0000	0.11784
410.0000	0.1199
409.0000	0.12017
408.0000	0.12108
407.0000	0.12245
406.0000	0.12269
405.0000	0.12249
404.0000	0.12426
403.0000	0.12458
402.0000	0.12639
401.0000	0.12454
400.0000	0.12521
