0M,,1M,,2M,,3M,,4M,,5M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
347.0700073,499.384552,347.0700073,561.9391479,347.0700073,744.5935669,347.0700073,615.371582,347.0700073,588.5627441,347.0700073,634.0979614,
348,493.3749695,348,558.0484619,348,745.9002075,348,624.1743164,348,597.335083,348,632.9766235,
349.0700073,488.7599792,349.0700073,542.7283936,349.0700073,738.0839233,349.0700073,638.2928467,349.0700073,601.7583008,349.0700073,647.1722412,
350,475.4874878,350,534.5513306,350,730.3829956,350,645.102356,350,611.4049683,350,654.6448975,
351.0700073,468.6477966,351.0700073,520.8423462,351.0700073,726.2382202,351.0700073,640.8369141,351.0700073,615.777832,351.0700073,655.7125854,
352,453.2922058,352,518.1062622,352,721.0914307,352,644.9047241,352,620.671875,352,660.4385986,
353.0700073,447.5022278,353.0700073,498.5836182,353.0700073,718.0085449,353.0700073,645.7720337,353.0700073,619.8845215,353.0700073,668.7174683,
354,432.7875061,354,490.9090881,354,709.1941528,354,643.8511963,354,627.6282349,354,668.2595825,
355.0700073,425.7722473,355.0700073,471.4532776,355.0700073,703.7209473,355.0700073,649.4342651,355.0700073,621.6618652,355.0700073,670.3793945,
356,413.210968,356,467.1760254,356,697.2752075,356,652.4620972,356,629.6401978,356,667.0958252,
357.0700073,406.3621521,357.0700073,455.6919861,357.0700073,682.4081421,357.0700073,643.4160767,357.0700073,633.7622681,357.0700073,669.9840698,
358,398.8133545,358,438.062439,358,679.8057861,358,649.8348389,358,618.9835815,358,661.4325562,
359.0700073,380.9405823,359.0700073,427.1464844,359.0700073,661.3154297,359.0700073,641.8688965,359.0700073,618.7403564,359.0700073,669.3305054,
360,367.8982239,360,412.8339233,360,644.0432739,360,638.0775757,360,614.0482788,360,658.0123291,
361.0700073,356.6776123,361.0700073,399.2828674,361.0700073,642.7358398,361.0700073,626.7803955,361.0700073,608.9653931,361.0700073,655.4593506,
362,350.1081238,362,386.2427979,362,636.852417,362,623.4052124,362,607.6812134,362,645.5137939,
363.0700073,329.3840637,363.0700073,376.7157593,363.0700073,618.3803711,363.0700073,614.8134155,363.0700073,591.1969604,363.0700073,642.8997192,
364,318.9041138,364,361.1446228,364,604.6990967,364,615.0348511,364,595.9676514,364,634.8743896,
365.0700073,311.434082,365.0700073,347.1998291,365.0700073,590.1202393,365.0700073,599.4415894,365.0700073,576.1561279,365.0700073,626.9700317,
366,294.3059387,366,336.0655518,366,576.0134888,366,590.1651611,366,571.0391846,366,621.800415,
367.0700073,279.5056458,367.0700073,325.51297,367.0700073,556.3883057,367.0700073,583.3691406,367.0700073,566.512085,367.0700073,604.0447388,
368,275.3335266,368,314.7451782,368,549.2324829,368,573.3150024,368,552.1976318,368,591.6246338,
369.0700073,262.6363831,369.0700073,301.2503052,369.0700073,536.2163086,369.0700073,563.0492554,369.0700073,543.6567383,369.0700073,585.7365112,
370,252.9827118,370,285.4960938,370,518.2263794,370,550.6338501,370,534.9415894,370,572.444397,
371.0700073,244.8029938,371.0700073,272.223114,371.0700073,508.2068481,371.0700073,539.8190918,371.0700073,524.9561157,371.0700073,572.1237793,
372,233.8735352,372,267.223938,372,499.2001648,372,534.9073486,372,515.3901367,372,548.9204712,
373.0700073,227.3479462,373.0700073,255.306778,373.0700073,478.7130432,373.0700073,516.6742554,373.0700073,505.4942932,373.0700073,542.1036987,
374,214.5018921,374,244.706131,374,470.1563721,374,505.727417,374,499.2010193,374,537.8811035,
375.0700073,203.7326355,375.0700073,235.6336823,375.0700073,448.7522583,375.0700073,494.7891235,375.0700073,489.2254944,375.0700073,516.9346313,
376,197.2691193,376,225.3608093,376,437.1042175,376,486.2530212,376,474.4343567,376,511.164978,
377.0700073,189.7849884,377.0700073,213.1708527,377.0700073,421.0254822,377.0700073,470.3927612,377.0700073,459.7669678,377.0700073,490.1836548,
378,181.2533569,378,207.0454254,378,410.428772,378,462.9949036,378,452.6331177,378,485.6186523,
379.0700073,173.667572,379.0700073,198.2938232,379.0700073,396.0310364,379.0700073,443.0177002,379.0700073,437.3024902,379.0700073,476.1412048,
380,166.1070251,380,189.1830444,380,386.0778809,380,440.2375793,380,428.1712646,380,460.6145935,
381.0700073,159.2886353,381.0700073,178.9240417,381.0700073,372.834137,381.0700073,422.2720947,381.0700073,411.1999817,381.0700073,450.7486877,
382,150.4118347,382,172.4349365,382,363.5239563,382,410.8262024,382,399.6635437,382,432.3323364,
383.0700073,140.9987946,383.0700073,164.6014404,383.0700073,342.9744263,383.0700073,395.0131531,383.0700073,386.6271973,383.0700073,417.1450806,
384,135.9737244,384,152.5865936,384,335.462738,384,389.6140442,384,384.1203613,384,406.006897,
385.0700073,131.0426483,385.0700073,150.533905,385.0700073,325.7115784,385.0700073,376.9168701,385.0700073,368.2237244,385.0700073,398.7348633,
386,126.8569946,386,142.8021393,386,312.9994202,386,370.2147217,386,354.9571838,386,384.75,
387.0700073,121.0325317,387.0700073,138.2584686,387.0700073,299.3145447,387.0700073,356.643219,387.0700073,347.4893494,387.0700073,376.3656311,
388,112.653717,388,128.2193604,388,289.8527222,388,344.5342102,388,337.0466003,388,361.3614807,
389.0700073,108.2796936,389.0700073,122.9620438,389.0700073,283.9319763,389.0700073,336.6860657,389.0700073,323.6217651,389.0700073,353.7683716,
390,103.3097076,390,118.67379,390,271.0734558,390,324.0645752,390,316.0920715,390,344.6722412,
391.0700073,98.3921051,391.0700073,113.033432,391.0700073,260.9740601,391.0700073,311.3270874,391.0700073,303.5340881,391.0700073,326.1397095,
392,94.94869232,392,109.0762558,392,252.5183563,392,303.7749329,392,296.006012,392,320.7020874,
